#Transcript position	Transcript coverage profile
0.0	986.4753669679012
1.0	2625.9989696930816
2.0	4229.443040833852
3.0	5538.882733675899
4.0	6717.234393553326
5.0	7746.941504087897
6.0	8260.614073981045
7.0	8731.65039678794
8.0	9109.678732721779
9.0	9382.698561234665
10.0	9847.305524070925
11.0	10118.022819789645
12.0	10345.012753331188
13.0	10578.692263604316
14.0	10642.23459709777
15.0	10584.894474586477
16.0	10663.558116791377
17.0	10819.892169409535
18.0	10742.851300198807
19.0	10700.897564933312
20.0	10672.139496389998
21.0	10715.804519023915
22.0	10650.505442139849
23.0	10832.629367051764
24.0	10730.750865561162
25.0	10670.213629622418
26.0	10768.46031926134
27.0	10849.030284039483
28.0	10791.567441516907
29.0	10691.930392195056
30.0	10692.826225778404
31.0	10642.881113098818
32.0	10734.167853705727
33.0	10940.71852956372
34.0	11054.171117893939
35.0	11141.543793409512
36.0	11265.824279095265
37.0	11485.600034735264
38.0	11422.09175041378
39.0	11460.464505419479
40.0	11542.455578481817
41.0	11468.262010883136
42.0	11392.870933563294
43.0	11266.967264519953
44.0	11111.590589333662
45.0	11113.605756166471
46.0	11005.548302504743
47.0	10908.452540456272
48.0	10862.340094761026
49.0	10752.999562859666
50.0	10787.004939694289
51.0	10791.31938093893
52.0	10774.781402354285
53.0	10810.415693471416
54.0	10984.006897897241
55.0	11024.999758098433
56.0	10993.430961352682
57.0	10759.453029535312
58.0	10586.997738471664
59.0	10515.329036821688
60.0	10552.119469541925
61.0	10719.32119705563
62.0	10801.388156695335
63.0	10750.01729144091
64.0	10569.122245112418
65.0	10519.083676192815
66.0	10752.68681273849
67.0	10823.687281898716
68.0	10637.573879150117
69.0	10444.520942506851
70.0	10321.848771397426
71.0	10179.055990296276
72.0	10040.989141975178
73.0	10166.639114230627
74.0	10143.026743243023
75.0	10075.229771485812
76.0	9816.183205434072
77.0	9429.922162458197
78.0	8974.378861953333
79.0	8446.048087574247
80.0	8139.777284875143
81.0	7944.55122485459
82.0	7694.014457969702
83.0	7337.384133781293
84.0	7029.470081965038
85.0	6833.044089885873
86.0	6537.980421216738
87.0	6079.437489640829
88.0	5685.3126427704965
89.0	5284.774045445403
90.0	4868.750306706151
91.0	4452.490198914171
92.0	3960.8667750827894
93.0	3363.6344379299467
94.0	2701.103178351933
95.0	2003.191730835162
96.0	1311.1322165983427
97.0	751.2371277876539
98.0	281.63834586889374
99.0	33.80992937882117
