#Transcript position	Transcript coverage profile
0.0	1.7627214557986977
1.0	3.544726621062156
2.0	4.770252203081533
3.0	5.588057745897808
4.0	6.149177854667481
5.0	6.5216335059066
6.0	7.463896350409533
7.0	8.012463506099193
8.0	8.73616734420319
9.0	8.932708934333194
10.0	9.487590630687452
11.0	9.75188019779925
12.0	10.164283866438632
13.0	10.57156782702499
14.0	10.935790124483104
15.0	11.09477034604324
16.0	11.444697321053813
17.0	11.374008584534348
18.0	11.359524632500776
19.0	11.150026656527013
20.0	11.227847505762876
21.0	11.747052888695439
22.0	11.799514408601919
23.0	11.909606193468765
24.0	11.426524677387318
25.0	11.365019573549946
26.0	11.777614127280346
27.0	12.794493910257325
28.0	11.940507176410385
29.0	11.780129728630705
30.0	11.986260884272966
31.0	11.574324412369005
32.0	11.232491801997849
33.0	11.15491550491123
34.0	11.093590523116404
35.0	11.30625004273134
36.0	11.28309619905057
37.0	11.440641778004613
38.0	11.612091209623271
39.0	11.411069993883636
40.0	11.256615840946916
41.0	10.965488150676768
42.0	10.851524927839044
43.0	10.683548594872558
44.0	10.749867855473711
45.0	10.715754452788492
46.0	10.625345304344268
47.0	10.623999456244556
48.0	10.25602692485619
49.0	10.203196743483982
50.0	10.15419750943806
51.0	11.083162660494931
52.0	12.047964926492408
53.0	11.844983877330606
54.0	11.06841590760537
55.0	9.929148355735075
56.0	9.689348747085583
57.0	9.533101069138802
58.0	9.315088347254592
59.0	9.455338148326941
60.0	9.717600870824697
61.0	9.731007392457478
62.0	9.730818326392512
63.0	9.506149314315234
64.0	9.207858598416225
65.0	8.703602921609928
66.0	8.48705543873877
67.0	8.5785154491324
68.0	8.405674061444708
69.0	8.202401141052807
70.0	7.744194338366619
71.0	7.535284246317219
72.0	7.294050071666769
73.0	6.971250418942008
74.0	6.901359511824056
75.0	6.722560378134858
76.0	6.964652667390012
77.0	7.2099096834284255
78.0	7.046213406746263
79.0	6.147994876285142
80.0	5.606367725312375
81.0	5.396169515996094
82.0	4.998210119524866
83.0	4.913260974333964
84.0	4.87374959418255
85.0	4.8425587651106765
86.0	4.540930216880718
87.0	4.499758204911156
88.0	4.785299827164121
89.0	4.451915579675838
90.0	4.982064356974643
91.0	3.8941934592379264
92.0	2.80412120277154
93.0	2.010184155205376
94.0	1.582344691900279
95.0	1.4519359850865867
96.0	1.0815579620420945
97.0	0.7664409749211653
98.0	0.45108805422215975
99.0	0.04733051870486979
