Sample	Unique Reads	Duplicate Reads
SRR18396491_1	2291810	5722524
SRR18396491_2	3306948	4707386
SRR18396493_1	3020879	7113204
SRR18396493_2	4027857	6106226
SRR18396494_1	2355782	5235701
SRR18396494_2	3181983	4409500
SRR18396495_1	1796578	3322987
SRR18396495_2	2422890	2696675
SRR18396500_1	1918943	3551485
SRR18396500_2	2541209	2929219
SRR18396512_1	1769091	4169096
SRR18396512_2	2615460	3322727
