Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR18396493_2 - polya	(1, 0.001598565948196793)	(2, 0.009522321851912995)	(3, 0.01189056770109343)	(4, 0.018916363720328715)	(5, 0.024649492213553018)	(6, 0.028724848612351014)	(7, 0.037566299782624636)	(8, 0.04416778508721509)	(9, 0.052348100957925844)	(10, 0.05937389697716113)	(11, 0.06485046550339088)	(12, 0.0701888863550851)	(13, 0.07630685479880123)	(14, 0.08306622316000373)	(15, 0.09042752067453957)	(16, 0.09753225822208088)	(17, 0.10609741404328345)	(18, 0.1148303206121363)	(19, 0.12587226688394007)	(20, 0.13431901041268363)	(21, 0.14264734164896814)	(22, 0.15224860502918716)	(23, 0.16245179756273953)	(24, 0.17549688511530842)	(25, 0.19133452923170255)	(26, 0.20729058564055575)	(27, 0.21754311662929937)	(28, 0.2294731550945458)	(29, 0.23749558790864453)	(30, 0.24717579281716953)	(31, 0.2583854898366236)	(32, 0.27297980488219803)	(33, 0.28814644600799105)	(34, 0.29989886603454896)	(35, 0.3133879996838392)	(36, 0.3272619732836212)	(37, 0.3389551871639496)	(38, 0.3514476840183764)	(39, 0.3635948116864644)	(40, 0.3728408381893063)	(41, 0.3846031259069025)	(42, 0.3978949057354277)	(43, 0.413387180665483)	(44, 0.42785321572756013)	(45, 0.44143115859619464)	(46, 0.45634123975499313)	(47, 0.4740241420955404)	(48, 0.4934536257498582)	(49, 0.5167808473642854)	(50, 0.5356478726294229)	(51, 0.5545247655855986)	(52, 0.5859336261603542)	(53, 0.6192272157234158)	(54, 0.6531720728950019)	(55, 0.7105329609003597)	(56, 0.737580302036208)	(57, 0.7649335415942419)	(58, 0.8287873703027694)	(59, 0.8725111092932631)	(60, 0.8957001832331549)	(61, 0.9147448269369809)	(62, 0.9309278402397139)	(63, 0.9466964105188402)	(64, 0.9629090268946879)	(65, 0.9758159667727213)
SRR18396493_2 - polyg	(1, 1.9764195734335313)	(2, 1.991694759160745)	(3, 1.998710687488942)	(4, 2.0074731971309094)	(5, 2.0121011442278496)	(6, 2.017557977372003)	(7, 2.0225510290373583)	(8, 2.0312148617689436)	(9, 2.0434705340384522)	(10, 2.052588280557797)	(11, 2.0651794543226063)	(12, 2.074178788549492)	(13, 2.0902137864866512)	(14, 2.095512736574192)	(15, 2.099301929932881)	(16, 2.103456227859985)	(17, 2.107363833511133)	(18, 2.110639906935832)	(19, 2.113452198881734)	(20, 2.1171131122569253)	(21, 2.120033948804248)	(22, 2.122500871563811)	(23, 2.1253427665828273)	(24, 2.1277702185782372)	(25, 2.1303160828661065)	(26, 2.1321712087812976)	(27, 2.134095408533757)	(28, 2.135832122156489)	(29, 2.1380326172580193)	(30, 2.139937081628402)	(31, 2.1416540598690577)	(32, 2.1431736842889486)	(33, 2.1447327794729922)	(34, 2.1465089638598776)	(35, 2.148127265190151)	(36, 2.149696228065233)	(37, 2.1515710893625006)	(38, 2.153771584464031)	(39, 2.1564654641174736)	(40, 2.161419045018676)	(41, 2.1639057031603155)	(42, 2.1653562537429387)	(43, 2.1666883920331026)	(44, 2.1679415887949607)	(45, 2.16901716711813)	(46, 2.1703295700262175)	(47, 2.1710696468540864)	(48, 2.1720169451937585)	(49, 2.172747154330589)	(50, 2.173526701922611)	(51, 2.1742371756773653)	(52, 2.174848972521737)	(53, 2.1754410339840318)	(54, 2.176190978502939)	(55, 2.1768027753473107)	(56, 2.177473778337912)	(57, 2.178302664385125)	(58, 2.1790230058309175)	(59, 2.179674273439442)	(60, 2.1803354087390048)	(61, 2.1809274702012997)	(62, 2.181529399354633)	(63, 2.1821905346541963)	(64, 2.182703654588185)	(65, 2.1834141283429394)
SRR18396494_1 - illumina_universal_adapter	(1, 0.008641262846798182)	(2, 0.008654435503576837)	(3, 0.008693953473912804)	(4, 0.008733471444248773)	(5, 0.008786162071363394)	(6, 0.008904715982371298)	(7, 0.009036442550157854)	(8, 0.009207687088280379)	(9, 0.00945796756707484)	(10, 0.009602866791640052)	(11, 0.009642384761976019)	(12, 0.009721420702647955)	(13, 0.009813629300098544)	(14, 0.009919010554327791)	(15, 0.01016929103312225)	(16, 0.010590816050039234)	(17, 0.010669851990711169)	(18, 0.010775233244940416)	(19, 0.011157240291521433)	(20, 0.019087179672272202)	(21, 0.019363805464623973)	(22, 0.019495532032410532)	(23, 0.01971946719764768)	(24, 0.01994340236288483)	(25, 0.020193682841679286)	(26, 0.020443963320473747)	(27, 0.020773279739940143)	(28, 0.021076250845849222)	(29, 0.02152412117632352)	(30, 0.02198516416357647)	(31, 0.022564761061837326)	(32, 0.023236566557548768)	(33, 0.024119134561718707)	(34, 0.024843630684544774)	(35, 0.025699853375157396)	(36, 0.026635112006441957)	(37, 0.02764940657839845)	(38, 0.029019362883378648)	(39, 0.03057373638326003)	(40, 0.03211493722636275)	(41, 0.03389324589148128)	(42, 0.0358823170650583)	(43, 0.03864857498857601)	(44, 0.04125676103074986)	(45, 0.04393081035681697)	(46, 0.04752694565739)	(47, 0.0513074981528642)	(48, 0.056115517877073556)	(49, 0.062398875160492355)	(50, 0.06930134731250798)	(51, 0.07686245230345638)	(52, 0.08509536279011624)	(53, 0.09438208581906855)	(54, 0.10476213936064929)	(55, 0.11601158824962132)	(56, 0.12830167702410714)	(57, 0.14227786586626093)	(58, 0.15865147824213002)	(59, 0.17899006030837453)	(60, 0.2016075119973265)	(61, 0.22720198411825462)	(62, 0.2566955626456649)	(63, 0.28725612637214626)	(64, 0.3210439910093983)	(65, 0.3577825307650692)
SRR18396494_1 - polya	(1, 0.004004487660711352)	(2, 0.007297651855375294)	(3, 0.009128651147608444)	(4, 0.014687512308201178)	(5, 0.024026925964268114)	(6, 0.02692491045557238)	(7, 0.03539492876424804)	(8, 0.03800311480642188)	(9, 0.041968084496797266)	(10, 0.0443391627169553)	(11, 0.04518221275078927)	(12, 0.04610429872529517)	(13, 0.047408391746382096)	(14, 0.04862027617001843)	(15, 0.04967408871231089)	(16, 0.050675210627488726)	(17, 0.05203199427569027)	(18, 0.05337560526711316)	(19, 0.055443712381362115)	(20, 0.058275833588773106)	(21, 0.05914522893616438)	(22, 0.06004096959711298)	(23, 0.06166120638088764)	(24, 0.06955162779130243)	(25, 0.07101379269373323)	(26, 0.07493924441377264)	(27, 0.07659899916788328)	(28, 0.07823240860843658)	(29, 0.0795101563159662)	(30, 0.08039272432013612)	(31, 0.08122260169719145)	(32, 0.08221055095559063)	(33, 0.08322484552754712)	(34, 0.08533247061213205)	(35, 0.08595158548072887)	(36, 0.08812507384920706)	(37, 0.09181341774723067)	(38, 0.1052100096911236)	(39, 0.12370441980835628)	(40, 0.124863613604878)	(41, 0.12797236060464076)	(42, 0.12927645362572768)	(43, 0.13216126546025328)	(44, 0.13444013508296074)	(45, 0.13555981090914648)	(46, 0.1362974796887512)	(47, 0.1371010117522492)	(48, 0.1396301618537511)	(49, 0.1406708017392649)	(50, 0.1416850963112214)	(51, 0.1424886283747194)	(52, 0.14345023231956128)	(53, 0.14434597298050986)	(54, 0.1456764113151541)	(55, 0.1474942379506086)	(56, 0.14835046064122123)	(57, 0.14928571927250578)	(58, 0.15033953181479826)	(59, 0.15156458889521324)	(60, 0.1531848256789879)	(61, 0.15452843667041077)	(62, 0.15612232814062812)	(63, 0.15728152193714984)	(64, 0.15838802510655692)	(65, 0.16061420410214974)
SRR18396494_1 - polyg	(1, 0.5093602923170611)	(2, 0.5113757088041955)	(3, 0.5114415720880887)	(4, 0.5114547447448674)	(5, 0.5117050252236618)	(6, 0.5124426940032666)	(7, 0.5124426940032666)	(8, 0.5124426940032666)	(9, 0.5124426940032666)	(10, 0.5124558666600452)	(11, 0.5124558666600452)	(12, 0.5124690393168239)	(13, 0.5124690393168239)	(14, 0.5124690393168239)	(15, 0.5124690393168239)	(16, 0.5124822119736026)	(17, 0.5124822119736026)	(18, 0.5124822119736026)	(19, 0.5124822119736026)	(20, 0.5125085572871598)	(21, 0.5125217299439385)	(22, 0.5125217299439385)	(23, 0.5125217299439385)	(24, 0.5125217299439385)	(25, 0.5125217299439385)	(26, 0.5125217299439385)	(27, 0.5125217299439385)	(28, 0.5125217299439385)	(29, 0.5125349026007171)	(30, 0.5125480752574958)	(31, 0.5128115283930689)	(32, 0.5128510463634048)	(33, 0.5128510463634048)	(34, 0.5128905643337408)	(35, 0.5129037369905195)	(36, 0.5129564276176342)	(37, 0.5129959455879701)	(38, 0.5129959455879701)	(39, 0.5130222909015274)	(40, 0.5130354635583061)	(41, 0.5130486362150847)	(42, 0.5130486362150847)	(43, 0.5130618088718634)	(44, 0.5130618088718634)	(45, 0.5130618088718634)	(46, 0.5130749815286421)	(47, 0.5131013268421993)	(48, 0.5131013268421993)	(49, 0.5131013268421993)	(50, 0.5131013268421993)	(51, 0.5131276721557566)	(52, 0.5131276721557566)	(53, 0.513154017469314)	(54, 0.513154017469314)	(55, 0.5131803627828713)	(56, 0.5132067080964285)	(57, 0.5132067080964285)	(58, 0.5132198807532072)	(59, 0.5132462260667645)	(60, 0.5133120893506579)	(61, 0.5133120893506579)	(62, 0.5134306432616658)	(63, 0.5135096792023377)	(64, 0.5136018877997882)	(65, 0.5136150604565669)
SRR18396494_2 - illumina_universal_adapter	(1, 0.00904961520693651)	(2, 0.009075960520493823)	(3, 0.00911547849082979)	(4, 0.009181341774723068)	(5, 0.009220859745059035)	(6, 0.009313068342509626)	(7, 0.00945796756707484)	(8, 0.009629212105197365)	(9, 0.00989266524077048)	(10, 0.010024391808557036)	(11, 0.01007708243567166)	(12, 0.010156118376343594)	(13, 0.010248326973794184)	(14, 0.010380053541580742)	(15, 0.010643506677153858)	(16, 0.011012341066956218)	(17, 0.011078204350849498)	(18, 0.0111967582618574)	(19, 0.011447038740651859)	(20, 0.016755619422450133)	(21, 0.017111281155473838)	(22, 0.017256180380039052)	(23, 0.017532806172390822)	(24, 0.017809431964742595)	(25, 0.018125575727430333)	(26, 0.01869199996891253)	(27, 0.019100352329050857)	(28, 0.019693121884090368)	(29, 0.02027271878235122)	(30, 0.021010387561955945)	(31, 0.021919300879683194)	(32, 0.022683314972845228)	(33, 0.023974235337153493)	(34, 0.024843630684544774)	(35, 0.026042342451402446)	(36, 0.027254226875038777)	(37, 0.028479283955453762)	(38, 0.02991510354432724)	(39, 0.031772448150117705)	(40, 0.03352441150167892)	(41, 0.035579345959149224)	(42, 0.03788456089541398)	(43, 0.040914271954504804)	(44, 0.04393081035681697)	(45, 0.046868312818457214)	(46, 0.05071472859782469)	(47, 0.05496949673733051)	(48, 0.06005414225389163)	(49, 0.06657460735932623)	(50, 0.07385908655792288)	(51, 0.08186806187934557)	(52, 0.09049615206936511)	(53, 0.10033612668302096)	(54, 0.11108501461440407)	(55, 0.12275598852029307)	(56, 0.13558615622270379)	(57, 0.1501419419631184)	(58, 0.16739812234315746)	(59, 0.18825043802376953)	(60, 0.21167142177621948)	(61, 0.23758203765983538)	(62, 0.26816894669987407)	(63, 0.2994144885788455)	(64, 0.33421664778805404)	(65, 0.37207486336991075)
SRR18396494_2 - polya	(1, 0.0014489922456521341)	(2, 0.007850903440078836)	(3, 0.01014294571956494)	(4, 0.015714979536936326)	(5, 0.02155046648988083)	(6, 0.02602916979462379)	(7, 0.03395910917537456)	(8, 0.04001853129355621)	(9, 0.04730301049215285)	(10, 0.05554909363559136)	(11, 0.06152947981310108)	(12, 0.06799725429142106)	(13, 0.07524221551968173)	(14, 0.08322484552754712)	(15, 0.09169486383622277)	(16, 0.09925596882717119)	(17, 0.10896421687304049)	(18, 0.11929157978750661)	(19, 0.13097572635017427)	(20, 0.1418036502222293)	(21, 0.1520124592256875)	(22, 0.1637229511019125)	(23, 0.17651360083398723)	(24, 0.1915962928455481)	(25, 0.21123672410252384)	(26, 0.2301921772070095)	(27, 0.24192901439679176)	(28, 0.25777572050151465)	(29, 0.26856412640323374)	(30, 0.27940522293206743)	(31, 0.2925778797107232)	(32, 0.31066393746781756)	(33, 0.3293822827502874)	(34, 0.34347702550344905)	(35, 0.36012726367167)	(36, 0.37555244475947586)	(37, 0.3893705617202857)	(38, 0.4038604841768071)	(39, 0.4184162699172217)	(40, 0.42931005707317005)	(41, 0.44198215289423687)	(42, 0.4580923121345329)	(43, 0.4770872832093545)	(44, 0.4949494058012117)	(45, 0.5119026150753416)	(46, 0.5307658595823768)	(47, 0.5517499018307753)	(48, 0.5757504824814862)	(49, 0.6051518524114459)	(50, 0.6284147642825519)	(51, 0.6527973519798437)	(52, 0.6931978903199809)	(53, 0.7344546513507308)	(54, 0.7791099578303738)	(55, 0.854681489769522)	(56, 0.890458425580351)	(57, 0.9247336785184134)	(58, 1.008590811571336)	(59, 1.0671037529821248)	(60, 1.096913475272223)	(61, 1.1211116457746135)	(62, 1.1424118317857)	(63, 1.1618810185045532)	(64, 1.1810867520878332)	(65, 1.1975394004043742)
SRR18396494_2 - polyg	(1, 2.6291042211383466)	(2, 2.6463999194887218)	(3, 2.654580139348267)	(4, 2.66444645927548)	(5, 2.6702160829445316)	(6, 2.6763808863169425)	(7, 2.6826510709435825)	(8, 2.693189196366507)	(9, 2.708456305572969)	(10, 2.720127279478858)	(11, 2.7357237051047867)	(12, 2.7467623914853)	(13, 2.766903383699865)	(14, 2.774240553525576)	(15, 2.778864156054884)	(16, 2.7836721757790936)	(17, 2.7878874259482633)	(18, 2.791733841727631)	(19, 2.7959490918968006)	(20, 2.7997955076761682)	(21, 2.8036155781419785)	(22, 2.8065135626332824)	(23, 2.8095432736923733)	(24, 2.8128232652302585)	(25, 2.816103256768144)	(26, 2.8186587521832034)	(27, 2.821108866344033)	(28, 2.823440426593855)	(29, 2.8262857204580447)	(30, 2.828920251813776)	(31, 2.8311200854958116)	(32, 2.833161847296503)	(33, 2.835427544262432)	(34, 2.837680068571582)	(35, 2.839590103804487)	(36, 2.8413815851263844)	(37, 2.843884389914329)	(38, 2.846334504075159)	(39, 2.8497198768672733)	(40, 2.8556870903880047)	(41, 2.8587563194174312)	(42, 2.860719045277451)	(43, 2.862326109404447)	(44, 2.8637619289933207)	(45, 2.865276784522866)	(46, 2.866528186916838)	(47, 2.8677005533701387)	(48, 2.8688465745098815)	(49, 2.8697423151708303)	(50, 2.8706117105182214)	(51, 2.871520623835949)	(52, 2.8724163644968974)	(53, 2.8731408606197233)	(54, 2.873812666115435)	(55, 2.874603025522154)	(56, 2.875367039615316)	(57, 2.876131053708478)	(58, 2.876908240458419)	(59, 2.877672254551581)	(60, 2.878515304585415)	(61, 2.8792661460217985)	(62, 2.8799116062039527)	(63, 2.8806887929538934)	(64, 2.881676742212292)	(65, 2.8824671016190115)
SRR18396495_1 - illumina_universal_adapter	(1, 0.0069146499751443725)	(2, 0.006934182884678679)	(3, 0.0069537157942129845)	(4, 0.007012314522815903)	(5, 0.007070913251418821)	(6, 0.007090446160953128)	(7, 0.007402972713502026)	(8, 0.00748110435163925)	(9, 0.007598301808845087)	(10, 0.007637367627913699)	(11, 0.007676433446982312)	(12, 0.007735032175585231)	(13, 0.007813163813722455)	(14, 0.00798895999953121)	(15, 0.008223354913942884)	(16, 0.008516348556957477)	(17, 0.008672611833231925)	(18, 0.008711677652300538)	(19, 0.008887473838109292)	(20, 0.010352442053182254)	(21, 0.010625902786662538)	(22, 0.010684501515265458)	(23, 0.010957962248745743)	(24, 0.011192357163157416)	(25, 0.011387686258500477)	(26, 0.01152441662524062)	(27, 0.011876008996858131)	(28, 0.012266667187544255)	(29, 0.012813588654504826)	(30, 0.013340977211931091)	(31, 0.01416135941237195)	(32, 0.014649682150729603)	(33, 0.015430998532101848)	(34, 0.0162318478230084)	(35, 0.01693503256624342)	(36, 0.017794480585752892)	(37, 0.01890785642920834)	(38, 0.020157962639403934)	(39, 0.02168152958307981)	(40, 0.023439491441167366)	(41, 0.025451381123200896)	(42, 0.02730700752895998)	(43, 0.02972908831121394)	(44, 0.03252229437461972)	(45, 0.03556942826197148)	(46, 0.038753292516063374)	(47, 0.04334352625662532)	(48, 0.04801189163532449)	(49, 0.054106159410028)	(50, 0.06117707266144682)	(51, 0.06863864410355176)	(52, 0.07711592684144063)	(53, 0.08742930307555427)	(54, 0.09795754131454527)	(55, 0.10932569466351146)	(56, 0.12235414532289364)	(57, 0.13676943255921156)	(58, 0.1534310043919747)	(59, 0.1734327037551042)	(60, 0.1960908788148993)	(61, 0.22081954228533088)	(62, 0.24998217622004995)	(63, 0.28254353641373825)	(64, 0.31739024702294044)	(65, 0.3573350470205965)
SRR18396495_1 - polya	(1, 0.002422080782253961)	(2, 0.004746497016836391)	(3, 0.006133333593772127)	(4, 0.011504883715706314)	(5, 0.02117367393518785)	(6, 0.023498090169770284)	(7, 0.03332314366552627)	(8, 0.036682804105426924)	(9, 0.0410386429315772)	(10, 0.04308959843267934)	(11, 0.043949046452188806)	(12, 0.044671764104958135)	(13, 0.04607813359142818)	(14, 0.04693758161093765)	(15, 0.04809002327346171)	(16, 0.04896900420250549)	(17, 0.05051210405571567)	(18, 0.052270065913803225)	(19, 0.05488747579140025)	(20, 0.05723142493551698)	(21, 0.058129938774095065)	(22, 0.059380044984290656)	(23, 0.06150913212353003)	(24, 0.07246709437227578)	(25, 0.07442038532570638)	(26, 0.08002633036205224)	(27, 0.0818038251296741)	(28, 0.0837180502640361)	(29, 0.0849681564742317)	(30, 0.08608153231768714)	(31, 0.08690191451812801)	(32, 0.0881520207283236)	(33, 0.08914819911457321)	(34, 0.09065223314871479)	(35, 0.09129681916334689)	(36, 0.09348450503118917)	(37, 0.0973520211189818)	(38, 0.11166964380762819)	(39, 0.13180807353749782)	(40, 0.13276518610467883)	(41, 0.1358904516301678)	(42, 0.13733588693570645)	(43, 0.1400314284514407)	(44, 0.1423167788669545)	(45, 0.1435668850771501)	(46, 0.14456306346339973)	(47, 0.1454029785733749)	(48, 0.147707861898423)	(49, 0.1489579681086186)	(50, 0.149622087032785)	(51, 0.1505401337808974)	(52, 0.15159491089574992)	(53, 0.15288408292501413)	(54, 0.15395839294940097)	(55, 0.15622421045538049)	(56, 0.15733758629883593)	(57, 0.15837283050415416)	(58, 0.15985733162876142)	(59, 0.16138089857243731)	(60, 0.16319745915912778)	(61, 0.1645452299169949)	(62, 0.1661273955892737)	(63, 0.16731890307086636)	(64, 0.16880340419547363)	(65, 0.17116688624912468)
SRR18396495_1 - polyg	(1, 0.4849630779177528)	(2, 0.48636944740422283)	(3, 0.48644757904236)	(4, 0.4864866448614287)	(5, 0.4867210397758403)	(6, 0.4879320801669673)	(7, 0.4879711459860359)	(8, 0.4879711459860359)	(9, 0.4879711459860359)	(10, 0.4879711459860359)	(11, 0.4879711459860359)	(12, 0.4879711459860359)	(13, 0.4879711459860359)	(14, 0.4879711459860359)	(15, 0.4879711459860359)	(16, 0.48799067889557024)	(17, 0.48799067889557024)	(18, 0.4880102118051045)	(19, 0.4880102118051045)	(20, 0.4880102118051045)	(21, 0.4880102118051045)	(22, 0.4880102118051045)	(23, 0.4880102118051045)	(24, 0.4880102118051045)	(25, 0.4880102118051045)	(26, 0.48802974471463884)	(27, 0.48802974471463884)	(28, 0.48802974471463884)	(29, 0.48802974471463884)	(30, 0.48804927762417316)	(31, 0.4882250738099819)	(32, 0.4882641396290505)	(33, 0.4882641396290505)	(34, 0.4882641396290505)	(35, 0.48828367253858485)	(36, 0.48828367253858485)	(37, 0.48828367253858485)	(38, 0.4883032054481191)	(39, 0.48832273835765344)	(40, 0.48832273835765344)	(41, 0.48832273835765344)	(42, 0.48832273835765344)	(43, 0.48832273835765344)	(44, 0.48832273835765344)	(45, 0.48836180417672204)	(46, 0.48836180417672204)	(47, 0.48836180417672204)	(48, 0.48836180417672204)	(49, 0.48836180417672204)	(50, 0.48836180417672204)	(51, 0.48838133708625636)	(52, 0.48838133708625636)	(53, 0.48838133708625636)	(54, 0.48840086999579063)	(55, 0.48842040290532496)	(56, 0.48842040290532496)	(57, 0.48842040290532496)	(58, 0.48842040290532496)	(59, 0.4884399358148593)	(60, 0.4884399358148593)	(61, 0.4884399358148593)	(62, 0.4885180674529965)	(63, 0.4885571332720651)	(64, 0.4886352649102023)	(65, 0.4886352649102023)
SRR18396495_2 - illumina_universal_adapter	(1, 0.006856051246541454)	(2, 0.0068755841560757605)	(3, 0.006895117065610066)	(4, 0.0069537157942129845)	(5, 0.007012314522815903)	(6, 0.007031847432350209)	(7, 0.0073639068944334135)	(8, 0.007422505623036332)	(9, 0.007578768899310782)	(10, 0.007637367627913699)	(11, 0.007735032175585231)	(12, 0.007793630904188149)	(13, 0.007871762542325373)	(14, 0.008067091637668434)	(15, 0.00834055237114872)	(16, 0.008672611833231925)	(17, 0.008828875109506374)	(18, 0.008867940928574986)	(19, 0.009082802933452355)	(20, 0.010098514229236273)	(21, 0.010508705329456702)	(22, 0.010606369877128232)	(23, 0.010879830610608519)	(24, 0.011211890072691723)	(25, 0.01142675207756909)	(26, 0.011817410268255214)	(27, 0.012247134278009948)	(28, 0.012833121564039133)	(29, 0.013594905035877071)	(30, 0.014298089779112092)	(31, 0.015528663079773379)	(32, 0.016251380732542706)	(33, 0.017208493299723706)	(34, 0.01816560586690471)	(35, 0.019103185524551404)	(36, 0.02007983100126671)	(37, 0.021466667578202446)	(38, 0.02306836616001555)	(39, 0.02472866347043157)	(40, 0.02685775060967094)	(41, 0.029201699753787676)	(42, 0.03138938562162996)	(43, 0.034006795499226986)	(44, 0.03726879139145611)	(45, 0.04055032019321954)	(46, 0.04387091481405159)	(47, 0.04881274092623104)	(48, 0.05402802777189077)	(49, 0.06041528918960888)	(50, 0.06781826190311091)	(51, 0.07553376116916183)	(52, 0.08504628811236892)	(53, 0.09590658581344313)	(54, 0.10678641642405165)	(55, 0.11879915578764992)	(56, 0.13221826463771824)	(57, 0.14731720370773688)	(58, 0.16472102610280365)	(59, 0.18505478492801636)	(60, 0.2084747434596494)	(61, 0.23437538150213935)	(62, 0.26465139128031384)	(63, 0.29834566022699194)	(64, 0.3341690163129094)	(65, 0.3755006528875012)
SRR18396495_2 - polya	(1, 0.0012696391197298989)	(2, 0.00789129545185968)	(3, 0.010196178776907804)	(4, 0.0171889603901894)	(5, 0.02422080782253961)	(6, 0.02922123266332198)	(7, 0.03721019266285319)	(8, 0.044515500828683684)	(9, 0.05365690249073896)	(10, 0.06246624469071103)	(11, 0.06959575667073277)	(12, 0.07697919647470049)	(13, 0.08498768938376601)	(14, 0.09407049231721835)	(15, 0.10358301926042544)	(16, 0.11256815764620627)	(17, 0.12446369955259871)	(18, 0.13626157691131963)	(19, 0.15026667304741712)	(20, 0.16169342512498622)	(21, 0.17437028341275088)	(22, 0.1883753795488484)	(23, 0.2026734693279605)	(24, 0.22042888409464476)	(25, 0.24388790844534644)	(26, 0.26646795186700434)	(27, 0.2806683770984449)	(28, 0.2989511804225554)	(29, 0.3102998008619873)	(30, 0.32356264643578114)	(31, 0.33918897406322607)	(32, 0.3609095694653745)	(33, 0.3817511839384791)	(34, 0.3978267684852131)	(35, 0.4171448160146419)	(36, 0.4361503369915217)	(37, 0.45220638862872137)	(38, 0.46925861865217067)	(39, 0.4861155195802768)	(40, 0.4992807006063992)	(41, 0.5140475802143346)	(42, 0.5323303835384452)	(43, 0.5545979004075542)	(44, 0.5758692388904135)	(45, 0.5956951420677342)	(46, 0.6186267778610097)	(47, 0.6434335729695785)	(48, 0.6729477992759151)	(49, 0.7091422806429843)	(50, 0.7372110716437822)	(51, 0.7672136206884764)	(52, 0.8131745568226988)	(53, 0.8618115015631211)	(54, 0.9092569388219507)	(55, 0.9847125683529753)	(56, 1.0247940987173716)	(57, 1.0608518497177006)	(58, 1.1295686254593895)	(59, 1.1818386913731929)	(60, 1.2148883743052388)	(61, 1.2429571653060367)	(62, 1.268623408434115)	(63, 1.2927270187994488)	(64, 1.3161469773310819)	(65, 1.335230629946099)
SRR18396495_2 - polyg	(1, 3.157612023677793)	(2, 3.179703744361093)	(3, 3.19034918005729)	(4, 3.2014829384918446)	(5, 3.208612450471866)	(6, 3.2165818775618633)	(7, 3.223574659175145)	(8, 3.236466379467787)	(9, 3.252698227290795)	(10, 3.266254066507604)	(11, 3.2818217954064455)	(12, 3.2951432397088425)	(13, 3.3142268923238594)	(14, 3.321864259951773)	(15, 3.3275678695357906)	(16, 3.33264642601471)	(17, 3.3383305026891934)	(18, 3.3426668086058093)	(19, 3.3471984436177684)	(20, 3.352277000096688)	(21, 3.356886766746784)	(22, 3.3605003550106307)	(23, 3.364289739460286)	(24, 3.3681181897290102)	(25, 3.3712825210735677)	(26, 3.3740561942274394)	(27, 3.377161926843394)	(28, 3.3798574683591283)	(29, 3.3828264706083426)	(30, 3.3857564070384885)	(31, 3.388334751097017)	(32, 3.3908935622460112)	(33, 3.393452373395005)	(34, 3.3959330529058622)	(35, 3.3980621400451017)	(36, 3.4002888917320124)	(37, 3.4034922888956385)	(38, 3.4062268962304416)	(39, 3.4093326288463963)	(40, 3.414860442244605)	(41, 3.418493563417986)	(42, 3.4210328416574454)	(43, 3.423044731339479)	(44, 3.425076153931047)	(45, 3.4267950499700657)	(46, 3.4284553472804817)	(47, 3.42962732185254)	(48, 3.4311313558866816)	(49, 3.432166600092)	(50, 3.433123712659181)	(51, 3.434080825226362)	(52, 3.4348816745172686)	(53, 3.435877852903518)	(54, 3.436815432561165)	(55, 3.437596748942537)	(56, 3.4384366640525124)	(57, 3.4394914411673647)	(58, 3.4405071524631485)	(59, 3.4413861333921925)	(60, 3.4424604434165795)	(61, 3.4434956876218976)	(62, 3.4441793394555984)	(63, 3.445077853294176)	(64, 3.4458982354946173)	(65, 3.4469334796999354)
SRR18396500_1 - illumina_universal_adapter	(1, 0.011772387827789709)	(2, 0.011845508249080329)	(3, 0.011900348565048293)	(4, 0.011918628670370947)	(5, 0.01197346898633891)	(6, 0.01211970982892015)	(7, 0.012412191514082628)	(8, 0.012796073725858378)	(9, 0.012978874779084926)	(10, 0.01325307635892475)	(11, 0.013399317201505988)	(12, 0.013508997833441918)	(13, 0.013728359097313776)	(14, 0.014020840782476252)	(15, 0.014514403626187933)	(16, 0.015209047628448815)	(17, 0.015282168049739435)	(18, 0.015464969102965983)	(19, 0.016141332999904213)	(20, 0.029723451254636747)	(21, 0.029961092623831263)	(22, 0.03021701409834843)	(23, 0.03056433609947887)	(24, 0.030838537679318694)	(25, 0.03138694083899834)	(26, 0.03169770262948347)	(27, 0.032099864946581874)	(28, 0.03244718694771232)	(29, 0.033123550844650546)	(30, 0.03379991474158878)	(31, 0.034439718427881696)	(32, 0.03513436243014258)	(33, 0.036523650434664344)	(34, 0.03796777875515408)	(35, 0.038881784021286815)	(36, 0.04027107202580858)	(37, 0.04160551971436239)	(38, 0.04325072919340132)	(39, 0.0454443418321199)	(40, 0.04752827383890255)	(41, 0.050690732059721834)	(42, 0.05396287091247705)	(43, 0.056979088290715095)	(44, 0.060214666932825)	(45, 0.06414488957719579)	(46, 0.06763638969382287)	(47, 0.07237093697239046)	(48, 0.07807432983305877)	(49, 0.08492936932905433)	(50, 0.09311885651360369)	(51, 0.10116210285557181)	(52, 0.11077743825528825)	(53, 0.1218917422914624)	(54, 0.13307916674892714)	(55, 0.14485155457671686)	(56, 0.16027996346903753)	(57, 0.1759094535199074)	(58, 0.19431751957982082)	(59, 0.2158149234392629)	(60, 0.2410963091004945)	(61, 0.26844334666318614)	(62, 0.29906252307863296)	(63, 0.3319118723434437)	(64, 0.3671193551948769)	(65, 0.4069334245876191)
