Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR18396491_1	0.4770452541658483	0.5088757219252404
SRR18396491_2	1.0617101807835811	0.15650707844220113
SRR18396493_1	0.47265253304122334	0.5321547100018819
SRR18396493_2	0.7255022482053877	0.15602793069683762
SRR18396494_1	0.48105225289972986	0.6227241765541727
SRR18396494_2	1.0014380589405258	0.15812457197098384
SRR18396495_1	0.4582811234938906	0.2539082910364455
SRR18396495_2	1.2241665063340341	0.15809936977067385
SRR18396500_1	0.47579458133805985	0.6737315617717664
SRR18396500_2	0.9427781519106001	0.15666050261515185
SRR18396512_1	0.46635446138695197	0.5091958202057294
SRR18396512_2	1.0375557388138839	0.15922368224510275
