"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR18396491","SRR18396493","SRR18396494","SRR18396495","SRR18396500","SRR18396512"
"1","YBR066C",1100.75063816812,-0.547582575884084,0.12956330901262,-4.22637072221387,2.37490609577891e-05,0.0800699590191859,1337.12680844101,1258.07344910864,846.253900973641,1170.24594635928,1154.56177080969,838.241953316467
"2","YCL030C",1148.27660155266,0.564806481322125,0.131853678923716,4.28358530404672,1.83905542993645e-05,0.0800699590191859,982.273924662435,1061.82438834892,1557.50584129945,912.844910538759,1002.86752355002,1372.34302091634
"3","YDR043C",2257.96721127281,-0.509485885047699,0.130178120964129,-3.91375971072811,9.08700654297918e-05,0.204245617064362,2545.683731455,2376.43316290821,1736.90441987845,2808.85563315487,2295.88039304909,1784.04592719124
"4","YCR010C",1275.28543433011,-0.779105792000581,0.205277945656269,-3.79537017242548,0.000147423326282143,0.248518872280122,1029.41621598568,1810.43007707472,908.771587448139,1588.19092720188,1497.67971103989,817.224087230361
"5","YGL008C",4825.97046868945,0.454711696568332,0.122865432610997,3.70089199952594,0.000214842908613922,0.278058703829566,4720.22906031067,4025.05523955522,5620.24940871466,4353.26184807801,4082.50152744072,6154.52572803742
"6","YBL111C",44.817018615835,1.48218265706928,0.404424739636394,3.6649158960994,0.000247419875867922,0.278058703829566,35.1424353500522,13.6464578673974,82.4508618721642,35.8238555007943,28.8941423351747,72.944358769427
"7","YPL106C",10688.9600332644,0.374052339313038,0.106671056103207,3.5065963812258,0.000453877031063915,0.382561602557998,9872.45293565613,9391.3623380775,12400.2472042026,9368.60161818922,10283.9068261276,12817.1892773331
"8","YNL054W-B",722.89665077923,0.588921831392232,0.167604073405896,3.51376800948034,0.00044179847822514,0.382561602557998,710.562900126665,527.663037539367,1001.18903701914,570.528069086725,668.177041500915,859.259819402573
"9","YDR127W",1984.62135399968,0.61159073851281,0.181423736509895,3.37106241045506,0.000748788922357757,0.561009300384261,1640.55173804878,1802.6321011505,1982.44489864061,1689.0284463893,1615.66412557518,3177.40681419369
"10","YGR192C",23095.9189526163,0.412958233732174,0.129217199046298,3.19584572936156,0.00139421636131565,0.940120092435141,19680.6209285987,20006.3570649316,26678.7431629217,19622.1851481943,23884.6204078138,28702.9870032376
"11","YOR027W",14860.8366564706,0.347560014486593,0.109753452889177,3.16673421507329,0.00154161146883755,0.94500783039742,13554.694454286,12855.6131424154,16571.7171828778,13846.5835557885,14238.7925582546,18097.6190452012
"12","YDL246C",0.22113491049873,-0.597330427741878,4.32799504117685,-0.138015506501009,0.890228162413678,0.999975563178514,0,0,0,1.32680946299238,0,0
"13","YDL243C",888.351714338992,0.0226927957199836,0.136331684486376,0.166452837471186,0.867800595571077,0.999975563178514,947.131489312383,903.265544556306,909.677640875306,902.23043483482,781.345765647015,886.459410808122
"14","YDR387C",1018.72331250997,0.0471201288722209,0.151911630409442,0.310181180632579,0.756423180922944,0.999975563178514,1143.41484773097,873.373303513435,993.940609601803,1060.12076093091,953.506697060765,1087.98365622196
"15","YDL094C",7.0654800246247,0.111549737153797,0.794104815536312,0.140472309160423,0.88828682962743,0.999975563178514,4.28566284756734,5.84848194317032,7.24842741733311,7.9608567779543,9.63138077839156,7.41807038333156
"16","YDR438W",284.32895334965,0.203902565024945,0.179651672681301,1.13498840273347,0.256380177569329,0.999975563178514,249.425577728419,252.784386210362,337.957928333156,311.80022380321,270.882584392263,283.123019630488
"17","YDR523C",101.522595766117,-0.550394513996404,0.279389943585463,-1.96998684681735,0.0488398780343796,0.999975563178514,82.284726673293,129.966265403785,80.6387550178309,104.817947576398,137.24717609208,74.1807038333156
"18","YDR542W",0.857132569513468,-2.74905784524882,3.3104188238159,-0.83042599488363,0.406297973432286,0.999975563178514,5.14279541708081,0,0,0,0,0
"19","YDR492W",1403.31222175206,0.157054617606,0.160344210098135,0.979484182870579,0.32734080013539,0.999975563178514,1587.40951873894,1270.420244322,1653.54750457912,1180.86042206322,1367.6560705316,1359.97957027745
"20","YDR018C",894.397544742624,-0.0746752332016514,0.154948956128832,-0.481934406447778,0.629852543442077,0.999975563178514,936.845898478221,872.723472186416,736.621436286478,947.341956576561,880.067418625529,992.785086302541
"21","YDL189W",833.125979600347,0.0354274756113436,0.156278159955099,0.226694988100208,0.820660924586783,0.999975563178514,834.847122706118,759.652821285123,964.946899932471,849.158056315125,864.416424860643,725.734552502605
"22","YDR508C",3530.51606258363,0.11330880949848,0.16495014734918,0.686927604002793,0.492128350879909,0.999975563178514,3254.53236644264,4130.9777458593,3245.4833761109,3086.15881092028,3272.26161945853,4193.68245671011
"23","YDR462W",653.158190191981,0.0984876771508772,0.149036134034326,0.660830863528663,0.508720787504982,0.999975563178514,619.706847758238,644.632676402773,752.930397975477,601.044686735549,688.643725654997,611.990806624854
