"","SRR18396491","SRR18396493","SRR18396494","SRR18396495","SRR18396500","SRR18396512"
"YGL015C",16,18,30,9,14,15
"RME2",7,2,1,2,0,3
"YGR251W",380,600,451,273,327,309
"YGR162W",2688,4546,2903,2446,2310,2526
"tK(UUU)G2",1,0,0,0,0,0
"YGR005C",2537,3465,2507,1733,1885,1870
"YGL160W",2527,2887,1691,1398,1347,1845
"snR46",31,37,20,8,15,20
"tD(GUC)G1",0,1,1,0,2,1
"YGL211W",790,1131,845,586,646,522
"YGR141W",2630,3467,2637,1636,1846,1853
"YGL239C",9,6,3,4,4,7
"YGL097W",571,768,522,436,439,435
"YGR030C",143,239,119,107,134,82
"YGR224W",465,677,426,342,353,390
"YGR142W",2908,3676,5760,1872,3496,2107
"YGR186W",3501,5767,3676,2843,2793,3160
"YGR181W",159,210,142,125,115,94
"YGL081W",358,544,360,302,253,262
"YGR082W",676,767,558,413,408,418
"YGL028C",226,246,223,177,182,151
"YGL021W",298,346,408,190,264,204
"YGL110C",1596,1935,1641,952,1125,1070
"YGR167W",3577,5200,4069,2422,3039,2649
"YGL017W",670,836,817,424,518,435
"tA(UGC)G",0,0,0,0,0,0
"YGR156W",377,677,496,292,468,306
"YGR291C",1,0,2,1,0,0
"YGR197C",740,977,772,464,547,493
"YGR041W",292,402,253,170,200,217
"YGL079W",250,375,319,174,157,199
"YGL107C",603,754,524,385,426,415
"YGL168W",49,32,7,14,21,33
"YGL228W",5098,6663,5896,3294,4252,3293
"YGR183C",1880,2792,1388,958,1103,855
"YGL050W",526,764,572,375,379,332
"YGR273C",6,5,4,7,2,0
"YGR086C",43104,50188,30488,23679,24005,31416
"YGR228W",0,0,0,0,0,0
"YGL145W",1551,1952,1768,882,1209,894
"YGR098C",551,765,540,383,397,356
"YGR074W",70,102,55,33,50,37
"YGL098W",1693,2495,2052,1028,1272,1113
"snR7-S",0,0,0,0,0,0
"YGL096W",573,892,488,289,403,437
"YGR240C-A",173,237,218,81,100,70
"YGR172C",519,603,541,298,377,316
"YGR194C",2620,2762,2335,1514,1525,1892
"YGL026C",1198,1484,1237,817,903,1115
"YGL213C",383,420,345,224,238,265
"YGL248W",9088,11576,9800,6307,7402,6291
"YGL075C",269,370,364,174,187,194
"YGL256W",915,1390,1687,600,1121,584
"YGL012W",210,306,226,164,134,155
"YGL082W",1770,2074,1579,893,1214,1219
"YGR161C",7079,10219,7889,5782,6993,5426
"tW(CCA)G1",2,0,0,0,0,0
"YGR274C",1124,1895,1246,867,906,816
"YGR031C-A",0,0,0,0,0,0
"YGL037C",46442,55297,39017,24009,29208,31784
"YGL252C",1641,2040,1437,1145,970,1376
"YGL250W",900,1135,700,488,566,451
"YGR260W",3988,5425,3535,2500,2601,3159
"YGR159C",1323,2160,1726,803,1227,940
"YGR006W",211,291,244,118,167,147
"YGL121C",3404,4581,3127,1831,2333,1920
"YGL040C",1263,1539,886,751,694,862
"YGR130C",15151,19750,15761,8857,10719,11374
"YGR021W",645,752,532,409,423,400
"YGR097W",2748,3520,3010,1840,2074,2087
"YGL170C",38,52,31,11,16,30
"YGL166W",737,974,677,513,545,556
"YGL104C",2165,2352,1643,1128,1131,1394
"YGR149W",3730,5060,3548,2494,2719,2428
"YGR195W",260,361,194,154,178,183
"tG(GCC)G2",0,0,1,0,1,0
"YGR250C",6505,8314,6439,4437,4411,4556
"YGL155W",445,564,423,339,340,387
"YGL216W",921,1240,927,671,711,675
"YGR029W",932,1156,706,501,561,570
"YGL125W",2124,2358,1427,1202,1024,1721
"YGR038W",428,665,412,273,329,309
"YGR008C",21040,29028,22329,9955,15060,11394
"YGR248W",11115,12277,9209,5609,6020,8789
"YGL094C",410,625,479,283,332,321
"YGR131W",382,432,185,164,205,164
"YGR163W",1742,1989,1415,995,1217,1132
"YGR125W",2599,3012,1877,1574,1381,1712
"YGR279C",506,370,434,306,289,438
"YGL022W",1769,2042,1776,1189,1314,1313
"tD(GUC)G2",11,27,14,7,2,6
"YGR271W",1213,1454,999,743,678,923
"YGL025C",961,1407,1058,640,695,796
"YGL176C",875,1050,753,632,587,645
"YGR031W",599,863,594,394,472,469
"YGL102C",47,86,39,31,31,30
"YGR182C",941,1207,624,436,493,445
"YGR025W",148,229,160,144,146,137
"YGL113W",777,1001,905,573,643,491
"YGR188C",535,717,705,385,466,395
"YGL162W",251,424,340,209,283,343
"YGL084C",1430,1500,1053,894,898,970
"snR10",20,25,22,9,9,5
"YGL196W",2012,2271,1340,1038,1090,1233
"RME3",0,0,0,0,0,0
"YGR230W",537,874,563,309,393,295
"YGR084C",619,911,584,452,430,475
"YGL222C",956,1339,979,487,639,686
"YGR166W",774,1136,770,515,680,403
"YGR122C-A",12,16,18,5,4,5
"YGR152C",52,64,51,63,56,18
"YGL210W",534,795,502,386,376,422
"YGR265W",72,50,52,36,29,37
"YGR157W",1299,2226,1485,857,1056,1195
"YGL240W",321,442,367,217,230,270
"YGR085C",273,571,356,243,302,270
"YGR237C",3793,3981,3458,2163,2467,2389
"YGL146C",468,859,404,375,422,363
"YGL153W",451,614,441,281,419,321
"YGR075C",308,367,242,146,198,149
"tT(UGU)G2",0,2,3,0,0,0
"YGL169W",723,989,727,458,510,478
"YGR187C",596,1002,631,492,515,453
"YGL167C",4558,5237,3428,2927,2749,3153
"YGR050C",102,147,142,70,99,58
"YGR035W-A",55,87,68,31,36,38
"YGR217W",796,1171,652,476,590,599
"YGR068C",497,653,441,346,345,375
"YGR296W",1,0,0,0,0,0
"YGR177C",57,64,43,43,33,53
"YGL068W",62,66,22,23,21,31
"tN(GUU)G",1,3,0,0,0,0
"YGL018C",218,356,283,154,208,182
"YGL188C",45,25,4,12,11,36
"YGR126W",351,461,263,240,213,188
"YGL065C",340,466,345,249,195,243
"YGL014W",1987,2826,2185,1414,1472,1634
"YGL100W",1092,1595,1095,650,794,799
"YGR288W",479,646,441,306,330,364
"YGL174W",311,472,255,245,187,251
"YGR211W",2369,2797,3134,1538,2002,1865
"YGL204C",133,231,137,84,122,92
"YGR270W",3832,4972,4002,2565,2682,3110
"YGR204W",4978,5473,5565,3407,3647,4112
"YGR266W",1146,1487,961,770,706,847
"YGL070C",350,563,324,211,272,155
"YGL225W",209,296,251,164,164,123
"YGL120C",867,1202,942,586,770,663
"tE(UUC)G1",15,27,19,13,17,6
"YGR252W",785,1064,868,611,554,566
"YGL106W",1372,1706,1314,842,1056,796
"YGR284C",1518,1937,1616,873,1258,1027
"YGR032W",20245,26149,18693,17432,16457,16633
"YGR174C",1410,1914,1547,822,1010,1082
"YGR208W",151,170,127,67,104,62
"YGL016W",223,273,228,124,141,100
"YGR255C",2157,2152,1584,1128,1152,1288
"YGR146C-A",76,83,88,54,54,36
"YGL194C",496,841,494,334,432,368
"YGL138C",12,31,12,17,8,4
"YGR091W",350,627,432,297,319,273
"YGR200C",1012,1422,1006,722,761,826
"YGR191W",861,1095,887,547,610,702
"YGR270C-A",0,0,0,0,0,0
"YGL227W",3246,4194,3537,2062,2453,2490
"YGR081C",388,760,409,295,410,264
"YGL243W",644,979,752,382,562,436
"YGL194C-A",232,407,231,198,246,127
"YGR148C",988,1557,1015,698,874,743
"YGL136C",1415,1658,1444,774,979,853
"YGR276C",1183,1582,1157,773,869,799
"YGL129C",895,1026,1109,519,673,557
"tR(UCU)G2",0,0,0,0,0,0
"YGR053C",995,1055,770,415,528,356
"YGR069W",8,6,7,2,5,1
"YGL224C",287,439,366,210,234,182
"YGL193C",0,0,0,0,0,0
"YGL020C",354,497,351,248,285,281
"YGL177W",55,105,83,60,57,52
"YGL189C",1353,2165,1212,1010,1070,1194
"YGR122W",581,623,384,395,388,338
"YGL003C",1563,2135,1447,1048,1095,1086
"YGR210C",1670,2344,1639,1120,1198,1295
"tG(GCC)G1",4,0,2,2,1,3
"YGR079W",1045,1803,1285,751,893,696
"YGL115W",724,1072,708,484,521,456
"YGL105W",1700,2530,1862,1148,1341,1380
"YGR026W",1962,2253,1700,1066,1199,1258
"YGR087C",15893,17056,16745,10544,11561,8793
"YGR278W",506,724,507,395,435,384
"YGR042W",930,1079,745,497,567,621
"YGR043C",52055,63314,44444,29992,33146,33807
"YGL165C",102,96,51,54,48,40
"YGR110W",1652,2032,1153,1048,962,1215
"YGR089W",1104,1675,1088,829,806,816
"YGL158W",254,746,641,216,420,298
"YGR262C",1543,1823,1304,867,999,977
"YGL200C",973,1284,807,609,746,627
"YGL117W",597,1252,891,360,618,709
"YGL186C",942,1179,816,526,542,662
"YGR010W",882,1186,921,573,646,631
"YGR198W",826,1238,953,571,604,714
"YGR137W",45,35,36,24,28,22
"YGL058W",674,979,984,501,622,422
"YGL226W",107,168,133,76,132,80
"YGL055W",11125,7841,6035,4275,3668,5260
"YGL184C",714,780,713,480,492,584
"YGL024W",1,9,7,2,3,1
"tV(AAC)G3",1,3,9,7,3,0
"YGL151W",1206,1625,1197,756,866,783
"YGR101W",921,1144,719,502,601,491
"YGL230C",46,46,24,14,14,17
"YGR103W",1230,2552,1467,1254,1161,852
"YGR096W",401,627,386,256,291,266
"YGR112W",924,1038,836,503,611,687
"tI(AAU)G",0,2,0,0,0,0
"YGL013C",2060,2768,1727,1356,1434,1607
"YGL076C",280,482,261,237,236,196
"YGR067C",4947,6796,2730,3465,2259,3233
"YGR094W",1951,2932,1760,1436,1415,1795
"YGL226C-A",134,147,187,103,93,96
"YGR045C",188,252,157,169,148,135
"YGR175C",4083,5216,3130,2304,2528,2710
"YGL008C",5507,6194,6203,3281,3391,4978
"YGR115C",0,0,0,0,0,0
"YGR108W",18,55,60,32,56,30
"YGR218W",5241,6553,4134,3237,3093,3871
"YGR205W",485,629,265,251,351,343
"YGL073W",2708,3340,2410,1763,1725,2260
"YGL009C",6991,8055,5602,3440,3641,5247
"YGL095C",1642,2140,1410,1108,1070,1208
"YGL137W",2834,3321,2589,1804,1874,2059
"YGL214W",0,2,0,2,1,1
"YGR105W",675,1119,728,419,493,391
"YGR001C",779,972,725,461,536,443
"tK(UUU)G1",1,2,0,0,0,1
"YGL217C",6,6,2,1,2,6
"YGL173C",4352,5698,3343,2815,2702,3809
"YGL086W",1147,1592,1472,735,916,692
"YGR223C",1124,1379,1162,675,808,709
"tS(AGA)G",0,0,1,2,0,1
"YGR077C",1201,1416,899,740,741,887
"YGL052W",466,348,213,227,173,230
"YGR285C",1665,2317,1928,1320,1452,1238
"YGL080W",1368,2018,1043,823,1019,816
"YGL207W",2563,3639,2472,1768,1730,2230
"YGR261C",1018,1357,992,615,669,686
"YGR226C",0,0,0,0,0,0
"YGL140C",2923,3276,2457,1774,1632,1952
"YGL078C",1051,1729,1173,911,1036,864
"YGL199C",2,1,0,1,1,0
"YGR164W",12,15,8,9,15,9
"YGR150C",844,1056,971,503,593,458
"YGL006W-A",29,43,36,28,23,18
"YGR196C",2015,2976,2016,1407,1566,1436
"YGL197W",4885,5636,3668,3250,2941,4342
"YGR136W",1860,1787,1601,1207,1114,1417
"YGR153W",98,236,136,80,126,80
"YGL159W",234,359,246,166,161,159
"YGR286C",6414,9919,3747,4243,3667,4290
"YGL254W",405,594,360,265,344,373
"tH(GUG)G1",1,3,2,1,0,1
"YGR023W",2907,3537,3501,1851,2250,2207
"snR48",17,12,8,6,8,3
"YGL063W",547,520,246,290,230,346
"YGL154C",392,448,359,224,217,246
"YGL035C",2026,3716,2734,1472,1828,1881
"YGR009C",4370,5564,4691,2918,3014,3146
"YGR034W",467,761,338,252,417,267
"YGL064C",322,364,282,232,254,200
"YGR118W",986,1556,826,606,790,518
"YGR277C",972,1273,789,548,719,499
"YGR232W",399,469,276,204,220,212
"YGR227W",563,709,504,387,376,332
"YGL142C",1024,1464,811,687,627,664
"YGL143C",428,466,396,226,255,225
"YGR222W",1632,2780,1293,905,1143,703
"YGL045W",3410,3629,3500,2036,2481,2017
"YGL253W",1132,2425,2065,933,1781,1084
"YGR257C",1042,1520,805,725,816,719
"YGL131C",1791,2182,1643,1142,1207,1403
"YGR064W",26,13,7,17,5,10
"YGR263C",432,598,459,319,336,263
"YGL049C",1783,2250,2056,1359,1311,1347
"YGR296C-B",0,0,0,0,0,0
"YGL202W",1826,2185,1815,1209,1300,1410
"YGL258W-A",39,74,49,54,27,36
"YGR133W",878,1117,760,493,537,589
"YGR109C",76,102,82,36,58,36
"YGR037C",1882,2694,1549,1155,1229,1393
"YGL077C",421,657,487,329,321,288
"YGR111W",3039,3545,2907,1598,1979,2161
"YGR016W",84,95,99,76,51,60
"YGR245C",788,1350,1065,763,828,707
"YGR287C",111,158,101,86,85,104
"YGL244W",3182,4385,4334,2178,2774,2199
"YGL057C",267,396,245,167,218,140
"YGL187C",1216,1672,882,725,738,811
"YGR180C",3041,4607,2759,1837,2811,1995
"YGR116W",2157,2637,1612,1208,1251,1523
"YGL181W",3145,4432,2741,2131,2146,2415
"YGR202C",2108,3119,2462,1473,1810,1473
"YGL127C",1837,2138,1738,1113,1240,1020
"YGR203W",207,318,199,132,127,126
"YGL150C",3240,4434,3291,2258,2387,2624
"YGR134W",873,1136,909,574,592,522
"YGR095C",576,782,566,387,505,417
"YGR214W",1341,2195,1318,1035,1171,1203
"YGR269W",321,433,301,230,207,254
"YGR176W",4,1,0,1,0,0
"YGL263W",0,0,0,0,0,0
"YGR057C",701,1050,593,407,481,317
"YGL074C",13,20,8,7,8,18
"YGR007W",934,1098,860,583,652,591
"YGR241C",2521,2963,1979,1654,1584,1583
"YGR127W",643,716,470,333,405,395
"YGL219C",1857,2261,1865,1179,1254,1302
"YGL061C",143,228,182,96,123,81
"YGR083C",1974,2787,1919,1318,1479,1409
"YGL038C",2036,2120,1759,1140,1282,1250
"YGL047W",438,613,560,236,387,298
"YGR244C",3851,4975,3311,2338,2497,2804
"YGR289C",321,465,221,175,211,271
"YGL089C",84,72,60,37,50,43
"YGL180W",2796,3904,2212,1935,1716,2223
"YGR146C",3155,5005,3508,2970,2649,2943
"YGL149W",89,109,86,43,61,55
"YGL242C",692,908,842,475,578,425
"YGR106C",1970,2069,1586,1044,1127,1033
"YGR004W",240,272,171,155,129,147
"YGR209C",2732,3615,2254,1026,1679,1303
"YGR052W",8141,7266,4437,3878,3120,4288
"YGR158C",539,666,469,333,410,382
"YGR003W",1517,1745,1385,893,926,755
"YGR219W",4,0,1,1,0,2
"YGL247W",574,903,428,339,384,310
"YGR170W",2747,3306,2561,1728,1820,2064
"YGR246C",813,1154,725,605,612,640
"YGL183C",156,181,135,106,140,102
"YGR160W",4,5,5,6,4,0
"YGR204C-A",147,121,44,59,64,67
"YGR039W",76,122,69,61,54,66
"YGL059W",3036,3815,2466,1867,1794,2101
"YGL123W",897,1312,725,626,695,614
"YGL099W",665,941,593,419,466,484
"YGR102C",2094,2601,1924,1422,1403,1412
"YGL233W",1133,1608,905,724,764,826
"YGL072C",10,6,1,0,6,5
"YGL056C",3925,5545,4123,3056,2780,3315
"YGR104C",893,1175,775,603,625,549
"YGR240C",7251,10391,8638,5515,5491,7098
"YGR243W",35945,63706,35202,21531,27892,20385
"YGR275W",939,1430,1456,595,995,569
"YGL088W",1,0,0,1,0,0
"YGR020C",855,1188,724,408,654,553
"YGR100W",2283,3093,2119,1557,1577,1874
"YGR231C",3721,4828,3366,2232,2649,2675
"YGR215W",732,1095,766,419,588,272
"YGR018C",2,8,2,2,0,0
"YGL152C",2,0,0,0,0,2
"YGL212W",638,753,638,371,418,367
"YGL066W",1800,2501,1751,1133,1209,1476
"YGL060W",529,501,357,334,301,307
"YGL185C",939,1196,862,580,559,645
"YGR145W",997,1510,1055,744,789,723
"YGL011C",2089,2738,2103,1434,1510,1589
"YGR147C",3182,3883,2391,1726,1957,1572
"YGR036C",235,382,257,114,201,183
"YGL122C",4126,5584,3741,2683,2697,3564
"YGL261C",0,0,0,0,0,0
"YGL041C",0,0,0,0,0,0
"YGR099W",315,396,281,199,201,222
"YGR046W",5670,7003,5049,3306,3675,3345
"YGL188C-A",41,68,46,33,34,16
"YGR216C",696,870,501,490,402,474
"tG(UCC)G",1,4,0,4,2,2
"YGR047C",1304,1500,1724,745,959,705
"YGR238C",1013,1354,904,698,659,710
"YGR282C",3785,5851,3621,2792,3191,3052
"YGL132W",33,35,13,19,15,16
"tA(AGC)G",0,1,0,4,0,0
"YGR169C",201,236,217,148,167,139
"YGR063C",63,106,63,40,46,27
"YGR256W",38474,45076,30419,21075,21208,28481
"YGL036W",6586,7580,5521,4106,3735,4521
"YGR192C",22961,30787,29445,14789,19839,23216
"YGL191W",7938,10384,7240,4553,5111,5040
"YGR051C",296,404,354,154,288,177
"YGR013W",1396,1804,1558,987,1072,1103
"YGR123C",218,361,305,166,207,164
"YGL209W",805,1124,1074,543,705,623
"YGL163C",699,1156,903,622,636,552
"YGR296C-A",0,0,0,0,0,0
"YGL178W",2778,3452,2721,1778,1860,2003
"YGL092W",1167,1676,1111,892,790,1115
"YGR132C",6960,8839,6285,3161,4689,3321
"YGL208W",2190,2826,1839,1457,1412,1635
"tL(GAG)G",1,0,0,1,0,2
"YGR059W",247,196,188,85,99,89
"YGR114C",19,10,13,7,9,4
"YGR128C",640,1054,738,550,597,489
"YGL246C",568,744,617,374,481,413
"YGL190C",4240,5462,3637,2674,2385,2858
"YGR033C",1397,1738,1316,882,1018,967
"YGL112C",1353,1779,1365,863,1023,946
"YGL001C",1161,1231,788,618,596,519
"YGR168C",386,618,291,196,312,188
"YGL093W",987,1294,880,730,690,678
"YGR120C",278,315,250,177,204,171
"YGR027C",1017,2203,1057,751,1063,719
"YGL259W",64,51,48,36,43,49
"YGR294W",14,15,8,11,6,8
"YGR124W",2090,2493,1665,1226,1375,1632
"YGL103W",42,118,32,52,39,33
"YGL062W",14821,18972,15662,13084,11799,13195
"YGR049W",3224,3924,2859,1819,1835,2071
"snR39",3,9,6,2,3,2
"YGR076C",337,399,314,184,240,235
"YGL161C",3924,5617,3420,1969,2437,2113
"YGR062C",391,378,224,208,202,196
"tV(AAC)G1",13,16,7,6,3,5
"YGL237C",1525,2146,1618,1113,1132,1113
"YGR024C",1027,1437,945,510,660,521
"YGR184C",3648,5137,3582,2471,2578,2904
"YGR292W",18,15,12,12,15,4
"YGR151C",0,0,0,0,0,0
"YGL034C",4,14,10,6,5,3
"YGL067W",312,387,298,204,203,216
"YGR072W",761,1199,1059,540,654,581
"YGL229C",547,530,323,236,246,279
"YGR055W",2866,3086,1656,1670,1303,2264
"YGL044C",2064,2556,1915,1173,1348,1210
"YGL054C",1821,2413,1433,866,1116,975
"YGL119W",1334,1599,1188,703,816,872
"YGR068W-A",0,0,0,0,0,0
"YGR206W",395,675,454,286,356,228
"YGR121W-A",10,19,16,3,7,5
"YGL130W",1420,1767,1662,860,1140,919
"YGL042C",122,231,135,90,100,118
"YGR090W",962,1581,1006,743,707,785
"YGR221C",424,569,545,290,412,293
"YGR143W",6937,9064,4826,4444,3947,5279
"tR(UCU)G1",14,7,11,6,4,4
"YGL218W",0,0,0,0,1,0
"YGL198W",149,166,78,52,74,99
"YGL083W",392,591,383,272,256,328
"tC(GCA)G",1,2,4,0,1,0
"YGR071C",916,1109,864,504,656,528
"YGR259C",4,5,4,4,0,5
"YGR058W",636,868,704,422,478,435
"YGL195W",2661,3335,1895,1658,1536,2227
"YGL192W",0,0,0,0,0,0
"YGL206C",5118,5685,3711,2845,2604,3952
"YGR060W",2697,5261,2473,2647,2293,2260
"YGL257C",990,1171,823,526,586,586
"YGL236C",432,580,411,352,291,311
"YGR138C",514,437,434,305,355,242
"YGR015C",396,492,392,259,233,254
"YGL023C",2677,3528,2765,1764,1987,1966
"YGL144C",269,308,222,176,157,137
"YGL071W",1184,1798,1288,1059,992,993
"tK(CUU)G3",3,0,0,1,0,0
"YGR080W",1751,1974,1493,1050,1110,1268
"YGL116W",234,383,255,209,198,199
"YGR035C",261,683,432,323,380,246
"YGL201C",423,692,419,383,368,419
"YGR212W",343,447,349,250,259,321
"YGR154C",807,1043,668,531,535,617
"YGL241W",362,428,289,182,232,259
"YGL262W",0,0,0,0,0,0
"YGR247W",426,545,340,209,283,304
"YGR199W",761,1001,721,439,510,559
"YGL260W",0,1,0,0,0,0
"YGR179C",600,731,633,372,464,332
"YGR011W",131,161,139,66,78,81
"YGL111W",1277,1695,1651,946,999,820
"snR39B",8,21,12,10,12,4
"YGR073C",4,6,0,1,0,0
"YGR155W",2866,3904,2416,1864,1769,2458
"YGL114W",2125,2724,2401,1275,1569,1626
"YGL255W",13766,19439,16530,9649,11536,8289
"YGR066C",3622,4362,3427,2075,2328,2454
"YGR233C",2553,3703,2955,1774,1971,2132
"YGR092W",519,897,605,449,411,494
"YGL041W-A",141,221,162,69,128,77
"YGR171C",428,568,379,231,301,297
"tW(CCA)G2",0,2,2,0,1,0
"YGL171W",274,492,309,237,212,231
"YGL029W",655,1261,697,371,647,322
"YGR040W",264,413,277,231,262,256
"YGR220C",316,565,454,272,300,310
"YGR268C",2426,2823,2230,1678,1677,1639
"YGL147C",89,128,60,59,58,22
"tK(CUU)G1",0,1,0,6,0,0
"YGR144W",4063,4724,4163,2782,2961,2340
"YGR178C",5926,7117,5251,3820,3993,4673
"YGR113W",756,840,761,459,481,480
"YGL203C",1534,2124,1664,1140,1135,1205
"YGL048C",1872,2362,1508,1113,1134,1480
"YGR207C",337,465,315,246,283,264
"YGR258C",7699,9826,7099,4932,4596,5953
"YGL091C",931,1146,817,551,648,589
"YGR093W",883,1037,906,661,602,588
"YGR119C",1763,2386,1892,1078,1349,1121
"YGR213C",232,331,249,209,212,126
"YGR061C",1536,2390,1543,1052,1093,1353
"YGL182C",12,20,15,17,15,20
"YGR139W",86,117,40,69,91,55
"YGR121C",2951,3435,2268,1950,2037,2002
"YGL043W",677,1035,870,521,553,520
"YGR280C",990,1625,1594,938,1009,891
"YGL085W",1360,1381,1200,621,877,644
"YGL031C",436,1038,471,461,453,438
"YGR117C",697,763,520,461,312,428
"YGR254W",22993,26047,27776,13052,17703,18236
"YGR235C",1854,2465,1903,1255,1445,1106
"YGL124C",1247,1726,1233,764,841,900
"YGR236C",11721,17561,12058,5341,8719,5672
"YGL164C",1154,1676,1069,691,902,790
"YGR293C",27,18,18,15,12,8
"tL(CAA)G1",6,10,3,2,5,2
"YGR264C",782,999,704,509,507,493
"YGL234W",1422,2055,1824,941,1203,1085
"YGL109W",60,37,38,22,29,27
"YGL238W",1042,1323,995,690,785,707
"YGL041C-B",18,42,12,16,14,20
"YGR056W",1086,1449,1222,728,842,809
"YGR201C",8126,9392,5718,4489,4803,5052
"YGR239C",575,736,513,293,323,308
"YGR169C-A",1686,2901,1810,1356,1652,1109
"YGR185C",810,1014,769,469,571,620
"YGR189C",3996,5125,4528,3479,3842,3176
"YGR022C",3,2,2,1,0,4
"YGR290W",5,6,2,2,4,6
"YGL205W",612,973,869,453,526,597
"tK(CUU)G2",0,0,0,0,1,0
"YGL221C",2394,2917,1969,1423,1618,1441
"YGL108C",441,561,517,297,345,225
"YGL069C",1,2,1,0,2,1
"YGL135W",358,633,370,311,297,346
"YGR253C",1979,2700,1810,1132,1471,1401
"YGL053W",4361,4599,3888,2326,2768,2527
"YGL101W",427,608,381,283,281,255
"YGR271C-A",284,720,483,235,316,147
"YGR267C",1080,1309,993,675,743,781
"YGR234W",295,521,333,180,283,230
"YGL251C",959,1307,943,630,689,799
"YGL141W",1885,2258,1417,1139,1114,1172
"YGL245W",1496,2082,1366,1072,1014,1338
"YGL007W",46,45,38,23,31,18
"YGL005C",1018,1538,1252,656,969,642
"YGL215W",5627,7009,5062,3538,3704,5311
"YGR173W",732,907,616,436,532,485
"YGL249W",42,67,36,32,34,32
"YGR161W-C",1834,2699,2257,1090,1745,812
"YGR229C",790,1047,901,514,788,503
"YGR070W",4080,4984,3176,2522,2396,3424
"YGR135W",1728,1960,1322,868,982,1127
"YGL014C-A",0,0,0,0,0,0
"YGR225W",590,733,548,366,426,356
"YGL258W",41,34,18,25,29,20
"tT(UGU)G1",0,0,0,1,0,0
"YGL139W",1799,2338,1563,1173,1091,1340
"YGL172W",1524,1816,1361,842,961,976
"YGR088W",104642,106208,77393,53903,49686,79905
"YGL126W",1749,1525,1112,828,941,768
"YGR140W",283,418,350,242,255,196
"YGR129W",3037,4050,2336,1268,1900,1151
"YGL027C",723,994,811,568,565,611
"tL(CAA)G2",12,9,4,5,1,3
"YGL231C",1628,2015,1385,845,1138,883
"YGL019W",1185,1702,1452,864,917,936
"tR(UCU)G3",1,1,1,2,0,2
"YGR017W",1081,1322,1317,617,756,644
"YGR107W",0,5,0,2,3,0
"YGL039W",167,161,131,76,93,80
"tL(CAA)G3",7,2,3,0,5,2
"YGL123C-A",0,0,0,0,0,0
"YGL002W",740,911,635,469,471,512
"YGR044C",4551,6314,4810,3453,3717,3437
"YGR193C",1624,2114,1658,1100,1263,1399
"YGL033W",9,7,10,7,6,1
"YGR165W",935,1146,1013,555,723,524
"YGL030W",105,182,92,65,56,64
"YGL128C",1724,1841,2047,805,1235,917
"YGL063C-A",0,0,0,0,0,0
"YGL007C-A",6,12,12,5,2,0
"YGL175C",97,151,81,72,67,78
"YGL223C",791,978,765,502,545,504
"YGR190C",48,102,60,33,49,50
"YGL004C",1344,1771,1391,882,951,930
"YGL148W",340,612,446,257,293,299
"YGR281W",6336,9530,5052,4499,3671,5553
"tH(GUG)G2",0,1,0,0,2,0
"tF(GAA)G",2,0,0,0,0,0
"YGR078C",204,335,253,135,187,114
"YGL133W",3426,3936,2685,2059,2163,2522
"tV(AAC)G2",14,32,20,18,9,14
"YGR295C",1140,1450,1014,870,786,926
"YGR048W",2003,2409,1731,1250,1305,1132
"YGR065C",10452,14299,7784,7139,6983,7060
"YGL051W",388,359,255,202,190,200
"YGL220W",1281,2182,1628,715,1167,647
"YGR019W",4201,4924,3692,2435,2746,3126
"YGL010W",752,1357,737,643,578,596
"YGL090W",561,995,992,455,633,420
"YGR054W",1319,2034,1389,941,1054,984
"YGR174W-A",532,981,646,333,427,291
"YGL032C",14,21,33,16,8,8
"tE(UUC)G2",5,1,2,2,0,2
"YGL179C",574,636,500,288,360,245
"tE(UUC)G3",0,0,2,1,0,0
"YGR002C",1559,1703,1685,886,1166,978
"YGL134W",2144,2357,2174,1230,1573,1500
"YGL235W",2,4,3,1,0,2
"YGL006W",10548,10931,7367,5825,6335,6665
"YGR028W",1590,2017,1409,749,1061,766
"YGR283C",282,447,308,244,224,169
"YGR249W",1037,1069,1090,571,740,681
"snR82",62,60,89,33,59,35
"snR7-L",0,1,0,0,0,0
"YGL232W",430,620,437,314,416,266
"YGL157W",4393,4091,3863,1748,2081,2403
"YGL118C",4,18,8,6,8,5
"YGR012W",600,832,553,396,433,406
"YGR242W",34,78,27,19,22,39
"YGR014W",632,1020,816,612,555,524
"YGR038C-A",0,0,0,0,0,0
"YGR161C-C",0,0,0,0,0,0
"YGR027W-A",0,0,0,0,0,0
"YGR109W-A",0,0,0,0,0,0
"YGR027W-B",14,17,2,4,11,17
"YGR038C-B",4,8,13,3,2,7
"YGR161C-D",13,26,26,8,5,18
"YGR161W-A",0,0,0,0,0,0
"YGR109W-B",840,991,803,521,555,598
"YGR161W-B",0,0,0,0,0,1
"YLL050C",1047,1323,828,588,707,566
"YLL032C",787,1127,811,585,615,654
"YLR466W",12,20,9,9,5,13
"YLR054C",1279,1143,1185,589,892,617
"YLR437C",213,306,257,146,231,92
"YLR217W",8,16,5,4,7,4
"YLL056C",513,728,482,354,425,401
"YLR128W",608,842,607,371,446,440
"YLR279W",12,41,16,2,15,9
"YLR075W",895,1608,870,620,790,639
"YLR052W",1372,1771,1149,866,909,891
"YLR159C-A",0,0,0,0,0,0
"YLR025W",4239,5764,5050,3013,3588,3070
"YLR049C",109,125,116,81,100,94
"YLR308W",53,94,35,43,29,35
"YLR032W",660,1064,527,446,402,554
