"","SRR18396491","SRR18396493","SRR18396494","SRR18396495","SRR18396500","SRR18396512"
"YDR198C",458,554,526,255,334,293
"YDL163W",0,0,0,0,0,0
"YDL119C",363,458,272,199,258,199
"YDR501W",105,207,149,108,100,97
"YDL214C",4010,5493,3059,2427,2323,3051
"YDR264C",2458,3461,2493,1725,1867,2115
"YDR343C",51,112,99,55,54,51
"YDR373W",1585,1943,1623,632,1129,572
"YDR354W",244,452,264,142,170,261
"YDR246W",2976,2788,2885,1879,1800,1702
"YDR428C",116,160,128,64,81,89
"YDR157W",43,20,20,15,13,24
"YDR316W",663,978,699,535,567,467
"YDL142C",1424,1475,877,742,782,867
"YDR253C",545,650,535,357,304,363
"YDL112W",983,1193,784,565,600,632
"YDR545W",0,1,0,0,0,1
"YDL187C",0,2,0,2,1,0
"YDL138W",751,859,754,439,471,452
"YDR528W",191,244,209,141,164,119
"YDR284C",974,1199,698,542,584,547
"YDR050C",1875,3056,2991,1217,1872,1446
"YDL010W",501,552,573,353,393,277
"YDL065C",2154,2486,2814,1346,1595,1337
"YDR349C",1023,1496,1299,855,907,856
"YDL098C",498,682,533,284,420,239
"YDL234C",9222,9394,8129,5880,6527,6071
"YDR118W",380,598,368,290,283,232
"YDR118W-A",5,5,2,2,5,6
"YDR159W",1347,1688,1409,1022,996,983
"YDR111C",1789,2455,1631,1151,1198,1057
"YDR128W",1480,2082,1508,1080,1047,1229
"YDL034W",12,7,5,3,8,6
"YDR065W",567,848,660,436,452,314
"YDL004W",2156,2826,2255,1354,1569,1511
"YDR024W",20,12,5,3,0,12
"YDL171C",3716,5591,3557,2374,2800,3051
"YDR083W",1279,2033,1409,1002,1138,865
"YDR457W",4572,5861,3571,2846,2631,3748
"YDR014W",826,1093,999,573,667,489
"YDR206W",2103,2938,2168,1364,1502,1378
"YDR478W",324,533,630,179,363,165
"YDR169C",2626,3414,2326,1756,1797,2041
"YDR115W",100,93,79,67,77,53
"YDL159W-A",14,22,13,13,13,25
"YDL232W",45,85,58,26,31,25
"YDL240C-A",1,2,0,0,0,2
"tE(CUC)D",0,0,0,0,0,0
"YDL152W",1,2,2,1,1,0
"YDR432W",3963,5681,5350,3415,3599,3508
"YDL022C-A",50,68,39,29,19,50
"YDL114W-A",48,33,16,28,14,23
"YDR410C",215,253,170,114,154,125
"YDR464C-A",0,0,0,0,0,0
"YDL072C",3266,4058,2550,2000,2318,2213
"YDR053W",6,4,6,3,7,1
"YDL012C",1225,1413,2485,876,1510,728
"YDR482C",856,1206,982,740,717,582
"YDL070W",3555,5603,4162,2110,3303,2207
"YDR064W",790,1528,835,730,899,590
"YDL135C",641,875,618,356,453,356
"YDL077C",1018,1158,855,644,626,641
"YDR354C-A",0,0,0,0,0,0
"YDL033C",253,395,282,171,165,215
"YDL031W",1670,2300,1673,1122,1259,1252
"YDR398W",646,1242,973,546,692,518
"YDR326C",1412,1537,1591,890,1076,801
"YDL052C",496,632,453,283,314,337
"YDR536W",43682,49540,21456,25739,18692,27992
"YDR397C",66,158,65,65,65,39
"YDL116W",1519,1903,1369,892,970,1013
"YDR028C",4874,6389,4683,3286,3406,3661
"YDL007W",6453,8313,5075,3612,4058,4347
"YDR236C",966,1314,1127,525,740,464
"YDR011W",7917,10712,9616,5027,5974,6403
"YDR155C",5732,7703,6687,3445,4695,4517
"YDR414C",633,958,662,318,478,307
"YDR026C",924,1363,841,673,629,676
"YDL073W",783,993,689,500,534,449
"tY(GUA)D",7,6,2,6,0,0
"YDL115C",1258,1934,1308,825,854,964
"YDL145C",2878,3411,2450,1840,1836,2384
"YDR203W",1,4,0,0,1,1
"YDL104C",174,235,222,132,177,115
"YDL149W",1973,2771,1806,1278,1372,1446
"YDR231C",879,1178,704,520,503,556
"YDR045C",96,185,69,66,86,62
"YDL075W",583,923,541,387,433,423
"YDR415C",635,777,571,355,335,371
"YDR339C",831,1192,873,469,762,573
"YDL213C",837,1282,997,677,729,614
"YDR096W",5092,6035,4312,3139,3238,3607
"YDL019C",4747,5424,3799,2652,2883,3184
"YDL022W",32686,36216,33934,18237,22117,19787
"YDR413C",2,1,2,1,1,0
"YDR391C",2032,2327,1666,1266,1313,1204
"YDR091C",674,1043,584,495,463,509
"YDR240C",459,694,496,349,327,286
"YDL244W",98,108,67,45,74,49
"YDR179C",111,236,246,68,141,63
"YDL165W",352,507,401,230,280,261
"YDL140C",6820,8612,5400,4387,4191,5586
"YDR120C",949,1271,879,653,613,658
"YDR003W",3345,3767,3228,1778,2192,2185
"YDR499W",377,553,504,286,324,267
"YDR166C",1933,2342,1826,1256,1295,1319
"YDL092W",705,912,735,484,542,419
"YDL041W",0,0,2,2,0,2
"YDL241W",11,32,20,10,24,6
"YDL082W",1186,2070,1306,1016,1093,1109
"YDR277C",4135,6033,5637,2318,3424,3692
"YDR291W",1229,1601,1134,826,888,883
"YDR475C",3923,4361,3657,2386,2586,2839
"YDR244W",1894,2564,1871,1288,1209,1252
"YDR407C",947,1070,844,642,547,593
"YDR382W",526,1054,643,523,604,531
"YDR102C",25,30,14,5,20,13
"YDL188C",2226,2622,1773,1347,1339,1581
"YDR405W",1059,1535,1075,745,777,815
"YDR443C",1391,1763,1206,963,899,1143
"YDR059C",2458,2777,2085,1557,1640,1788
"YDR144C",130,224,128,144,130,132
"YDL157C",134,283,123,86,98,93
"YDL058W",1653,2281,1436,1100,1090,1320
"YDL096C",7,9,1,6,5,5
"YDL155W",982,993,710,626,517,592
"YDR147W",857,925,729,562,637,494
"YDL191W",218,343,189,173,152,155
"YDL128W",7898,9205,6135,4338,4425,5733
"YDR310C",1187,1951,1175,914,942,1096
"YDL160C-A",214,351,213,117,203,91
"YDR127W",1914,2774,2188,1273,1342,2570
"YDR497C",3128,4864,3663,1704,2896,2330
"YDL162C",15,16,11,11,9,10
"tS(AGA)D3",0,0,0,0,0,0
"YDR201W",403,527,551,182,388,191
"YDR163W",1160,1947,1758,851,1181,756
"YDL146W",283,345,246,194,189,192
"YDR363W-A",2807,4660,3366,1609,2314,1415
"YDL221W",73,110,73,70,63,49
"YDL089W",670,703,526,345,347,385
"YDR385W",548,889,532,465,446,529
"YDR331W",345,459,466,224,298,205
"YDR196C",1724,2213,1488,869,1144,1003
"YDR116C",541,688,467,355,452,403
"YDR001C",11772,13311,9089,6827,7023,9117
"YDL230W",1400,1625,1175,784,921,852
"YDR160W",1848,2273,1567,1068,1072,1145
"YDR123C",999,1634,1280,769,904,667
"YDR322W",430,432,348,238,237,274
"YDR040C",4295,6432,3734,3029,3089,3070
"YDR025W",781,1217,791,583,642,606
"YDR046C",2906,3564,2287,1729,1748,2519
"YDL057W",1135,1483,1002,658,835,689
"YDL248W",80,98,52,56,58,68
"YDR008C",2,1,1,0,1,2
"YDR029W",483,768,549,362,401,356
"YDR485C",2534,3262,2789,1748,1922,1937
"YDR408C",869,1263,860,590,613,662
"YDR038C",239,245,226,121,132,140
"YDL204W",70201,83777,54563,38958,37491,56989
"YDR019C",2611,4194,2047,1485,1732,2526
"YDR477W",2945,3784,2867,1863,1982,2277
"YDR254W",935,1075,707,528,505,670
"YDR514C",462,540,405,285,286,229
"YDR296W",442,707,462,289,351,282
"YDL216C",1147,1591,1087,712,776,721
"YDL100C",816,1171,812,509,600,707
"YDL068W",5,9,11,5,4,5
"YDL026W",22,24,25,9,24,15
"YDL124W",25586,28253,23489,14075,16223,18503
"YDL227C",30,51,29,27,26,39
"YDL111C",704,855,816,401,578,366
"YDR324C",513,932,624,506,466,416
"YDL170W",668,1020,728,379,520,517
"YDR317W",323,490,278,235,214,194
"YDR436W",8056,7793,5390,4697,4182,5268
"YDR208W",3002,3693,2977,1880,1998,2313
"YDR386W",322,424,397,266,227,236
"YDR504C",303,327,120,116,164,190
"YDL220C",623,849,627,497,494,465
"YDR396W",77,16,12,34,19,42
"YDR258C",13166,15085,14047,7616,9547,9601
"YDR176W",1445,1967,1662,935,1033,1017
"YDL099W",1736,2523,2336,1141,1483,1279
"YDR380W",432,521,388,255,355,224
"YDL110C",17907,23049,15352,10569,11134,10636
"YDR148C",4564,5626,3514,2865,2718,3506
"YDL201W",629,987,653,466,485,502
"YDL107W",541,719,655,362,435,298
"YDR515W",751,1135,734,466,551,559
"YDR133C",599,868,506,295,421,378
"YDR378C",620,1169,623,401,523,313
"YDR473C",2884,3168,3735,1602,2194,1527
"YDR403W",884,1082,904,455,632,432
"YDR268W",242,291,212,178,179,126
"YDR409W",1439,1836,1291,753,982,958
"YDR173C",1196,1475,895,763,786,606
"YDR187C",35,36,20,19,6,22
"YDR389W",1538,1853,1191,1067,983,1095
"YDR417C",8,10,9,6,11,1
"YDR165W",578,942,705,428,551,436
"YDL113C",2943,3598,2232,1699,1714,1995
"YDR426C",2,0,2,0,0,0
"YDR521W",5,9,3,2,5,3
"YDR086C",792,1090,668,454,549,545
"YDL021W",1603,2042,1983,844,1292,1113
"YDR023W",1302,1736,1404,913,1089,1055
