#Transcript position	Transcript coverage profile
0.0	351.11923249120645
1.0	921.80106134304
2.0	1564.0234864379943
3.0	2091.900275861924
4.0	2610.0055040596176
5.0	3106.2972289103423
6.0	3283.219293401474
7.0	3493.319972798217
8.0	3693.6713218766113
9.0	3854.3052527231057
10.0	4082.365857425355
11.0	4221.465906879013
12.0	4322.198822906068
13.0	4439.846761816152
14.0	4446.197217643524
15.0	4406.031939530124
16.0	4449.68076532372
17.0	4501.652866879397
18.0	4434.4563871093305
19.0	4388.196440882854
20.0	4388.418489776643
21.0	4397.634253956642
22.0	4327.51290084196
23.0	4443.3750791777475
24.0	4376.8066906168915
25.0	4309.192482105322
26.0	4367.700632525721
27.0	4429.83085638939
28.0	4435.3635258221375
29.0	4489.582448596702
30.0	4481.378231115904
31.0	4493.240318281482
32.0	4617.533638089821
33.0	4759.491828186822
34.0	4844.548821678385
35.0	4893.421557126902
36.0	4973.17631838265
37.0	5120.127331465003
38.0	5083.312598512748
39.0	5092.072439244885
40.0	5131.104502241929
41.0	5066.168513815016
42.0	5038.43602708632
43.0	4973.851605900225
44.0	4843.369602285502
45.0	4887.928396185041
46.0	4886.404786381476
47.0	4838.940393189434
48.0	4775.469375315861
49.0	4529.202422765226
50.0	4504.814919565714
51.0	4510.03553856717
52.0	4495.862899172306
53.0	4473.1793562150415
54.0	4637.868531572256
55.0	4742.739569749838
56.0	4690.452913224679
57.0	4514.093232744119
58.0	4376.444460129665
59.0	4304.302744888087
60.0	4356.845435850245
61.0	4463.568680008736
62.0	4498.581160240702
63.0	4491.749533214734
64.0	4390.705488740672
65.0	4395.232871720836
66.0	4589.55618552767
67.0	4671.642696314624
68.0	4590.7154243729965
69.0	4483.624479446758
70.0	4348.728110112933
71.0	4214.740101422076
72.0	4137.883377764222
73.0	4233.042053149629
74.0	4267.619512532595
75.0	4265.039982290192
76.0	4125.527974713335
77.0	3877.7301071644024
78.0	3549.0646090732803
79.0	3186.298712492502
80.0	2971.4930495513954
81.0	2897.493969091527
82.0	2803.7445006943362
83.0	2621.773495456634
84.0	2473.5504390687856
85.0	2443.660086560767
86.0	2350.6428111397345
87.0	2119.302535331891
88.0	1923.4602486173906
89.0	1721.6466721929735
90.0	1553.4543450128515
91.0	1394.6309936360958
92.0	1222.541396714765
93.0	1012.7702394314398
94.0	742.5321320122924
95.0	522.3552012630294
96.0	331.4054921872226
97.0	181.14854761380965
98.0	65.73796272166305
99.0	8.227575142594231
