#Transcript position	Transcript coverage profile
0.0	1.7590436543457766
1.0	3.1928945442967405
2.0	4.772197133134263
3.0	5.390810364604446
4.0	5.669571758318681
5.0	5.963591705568129
6.0	6.445128392001888
7.0	6.9000040431436656
8.0	7.649729481381261
9.0	7.694690831021726
10.0	8.3214575458716
11.0	8.385825902746287
12.0	8.359870346320976
13.0	8.529074621264911
14.0	8.633465088160161
15.0	8.743883666933499
16.0	9.214652518180216
17.0	9.107242376390426
18.0	9.185844535909332
19.0	9.32053657809754
20.0	8.827204202305648
21.0	8.88200905186781
22.0	9.112115513754222
23.0	9.295401423229118
24.0	9.028637464057715
25.0	9.66674007927217
26.0	9.507608232596667
27.0	10.394627009290023
28.0	9.6792493680821
29.0	9.460436677850726
30.0	9.443713698577563
31.0	9.172461891746915
32.0	9.360553381315222
33.0	8.969447931178292
34.0	8.89341339641885
35.0	9.144062885163251
36.0	9.389173530701914
37.0	9.873191053777736
38.0	9.665919195282896
39.0	9.164474571862781
40.0	9.001237813050293
41.0	8.992431683771521
42.0	8.904515251510361
43.0	8.89049727830948
44.0	8.812834727217735
45.0	8.700286408992003
46.0	8.827026500340503
47.0	9.121858527994064
48.0	9.336360294655469
49.0	9.151053117024144
50.0	8.94265734171307
51.0	8.888819838118708
52.0	9.099068136938284
53.0	9.98274383354748
54.0	9.758757991253947
55.0	8.708588618638643
56.0	8.352857528166801
57.0	8.187376992022855
58.0	8.095567643234197
59.0	8.350444194214349
60.0	8.27622278022893
61.0	8.150372318993854
62.0	8.005378834158266
63.0	7.753843068767153
64.0	7.516377570181669
65.0	7.325922320804437
66.0	6.894901372581602
67.0	6.979838414949843
68.0	6.958146207756324
69.0	6.7890034082951445
70.0	6.442844847334513
71.0	6.15094508453239
72.0	6.113940698678483
73.0	6.059756754520888
74.0	6.080801616577352
75.0	6.156997805290261
76.0	6.678369335539647
77.0	6.904855211104159
78.0	6.334700487565957
79.0	5.422379803333769
80.0	4.934344062447125
81.0	4.565301491104894
82.0	4.298358918410432
83.0	4.263221248214397
84.0	4.035994035285952
85.0	3.9912554920765384
86.0	3.9645887987017803
87.0	3.704822594036069
88.0	3.732849563799127
89.0	3.6003470168679073
90.0	3.5840126094558036
91.0	2.8052527572821067
92.0	2.170548255776669
93.0	1.7988427139813021
94.0	1.4526595651482066
95.0	1.362957547745645
96.0	1.0792738300466331
97.0	0.7133541294177205
98.0	0.40642076024272256
99.0	0.08660202601716191
