#Transcript position	Transcript coverage profile
0.0	519.2698089809318
1.0	1390.1442026272387
2.0	2257.812337870652
3.0	2960.7202409247
4.0	3603.0136661294064
5.0	4168.080082646848
6.0	4456.404807221971
7.0	4717.611870297471
8.0	4942.225894538533
9.0	5100.854321008932
10.0	5345.7959345001755
11.0	5499.195435940879
12.0	5610.6366546248655
13.0	5720.698871632383
14.0	5753.598142572759
15.0	5733.89483423321
16.0	5764.105149484599
17.0	5833.989715429171
18.0	5798.55646534124
19.0	5781.849935330653
20.0	5776.014420176369
21.0	5797.0286569524915
22.0	5745.299195952441
23.0	5846.367148381869
24.0	5796.236427695008
25.0	5757.77241639153
26.0	5802.2656348138025
27.0	5834.911027357899
28.0	5819.804353546069
29.0	5854.069415596937
30.0	5860.5981171733565
31.0	5834.524250078624
32.0	5904.1316125518615
33.0	6023.780138239315
34.0	6089.719987695547
35.0	6131.923668110037
36.0	6185.421926910773
37.0	6283.129974177501
38.0	6242.414891970536
39.0	6254.337842112445
40.0	6298.903874097637
41.0	6259.793519939135
42.0	6209.820593586715
43.0	6155.9346353629
44.0	6083.914111791282
45.0	6097.103932874022
46.0	6071.788479033106
47.0	6038.547970947158
48.0	5979.847168668378
49.0	5803.60331378017
50.0	5795.134961548324
51.0	5799.75347559496
52.0	5787.609092776038
53.0	5782.564152941607
54.0	5843.037743098601
55.0	5877.609884960169
56.0	5853.826953926846
57.0	5730.47974563364
58.0	5635.191497354469
59.0	5587.0207403178865
60.0	5605.916573842875
61.0	5690.532441608856
62.0	5720.279398372032
63.0	5719.396950994281
64.0	5654.614892788818
65.0	5632.06343864505
66.0	5755.679750474655
67.0	5800.858050572445
68.0	5719.6488678617925
69.0	5625.474940508992
70.0	5550.531410710244
71.0	5474.912539842024
72.0	5403.190828020858
73.0	5475.0495527909725
74.0	5462.571909307712
75.0	5428.243587245751
76.0	5287.805272831278
77.0	5081.353635995967
78.0	4827.5094940631
79.0	4550.247581733942
80.0	4388.739787856434
81.0	4279.661914516933
82.0	4151.782427828082
83.0	3955.2505710085034
84.0	3779.623511351296
85.0	3677.890489834197
86.0	3521.642812854544
87.0	3268.8249795654697
88.0	3056.747538698895
89.0	2834.4203839142892
90.0	2615.1552841417156
91.0	2386.1577998164953
92.0	2115.9882041917162
93.0	1789.4671838999282
94.0	1418.5218036332308
95.0	1047.2206165290736
96.0	684.4919177983456
97.0	390.5177034393534
98.0	147.0413806481164
99.0	17.51439125347304
