#Transcript position	Transcript coverage profile
0.0	263.4553269733883
1.0	687.3266563626363
2.0	1150.908485448496
3.0	1536.6431329821212
4.0	1912.0187402470062
5.0	2282.544150827196
6.0	2419.5056956358735
7.0	2579.5178850651596
8.0	2739.673972629754
9.0	2847.5318663721127
10.0	3034.7729628228362
11.0	3134.885683648616
12.0	3206.200393950472
13.0	3298.598638743922
14.0	3305.179958684399
15.0	3274.0754141069797
16.0	3293.619861316092
17.0	3328.8637102059374
18.0	3282.979982946408
19.0	3254.6959899226517
20.0	3253.966117260034
21.0	3263.1625462363686
22.0	3204.161590688497
23.0	3306.1568553247757
24.0	3261.5903040650146
25.0	3215.6554338087726
26.0	3257.146960015231
27.0	3297.3838566651316
28.0	3294.88046578963
29.0	3341.8467237291507
30.0	3345.4113991374566
31.0	3342.36594676923
32.0	3430.7525355957973
33.0	3545.40615039535
34.0	3609.207218722096
35.0	3649.143616105926
36.0	3704.7996102029565
37.0	3791.444964368663
38.0	3730.7083235875257
39.0	3734.131566432393
40.0	3772.3770894471972
41.0	3726.6895535243257
42.0	3697.3181268972007
43.0	3659.5012310023667
44.0	3581.6259073800193
45.0	3604.472569985977
46.0	3591.8624017525426
47.0	3550.7579301000587
48.0	3504.7574161533676
49.0	3323.25543862304
50.0	3318.6877307687746
51.0	3327.093453992047
52.0	3324.9751884327243
53.0	3306.407567212653
54.0	3379.0081580650935
55.0	3426.031341882283
56.0	3399.3473093857046
57.0	3286.374020247093
58.0	3191.156685018941
59.0	3137.4759116751893
60.0	3166.2991409604247
61.0	3248.920507875511
62.0	3275.0460954859623
63.0	3275.597878416488
64.0	3219.816268691589
65.0	3206.8777197371874
66.0	3336.562519244407
67.0	3391.8622235241087
68.0	3332.256237556056
69.0	3266.8961093500775
70.0	3197.1501653115
71.0	3112.45804905198
72.0	3048.8422393698042
73.0	3127.731819107987
74.0	3141.8854585096788
75.0	3133.2285666871526
76.0	3027.3396230884928
77.0	2836.145464514645
78.0	2608.704141685734
79.0	2346.524525430884
80.0	2199.57246374666
81.0	2137.6463044105985
82.0	2052.71576241611
83.0	1903.5139467541333
84.0	1777.93310478187
85.0	1757.3034682015664
86.0	1681.1690890598786
87.0	1513.6580421715887
88.0	1381.5342803764756
89.0	1236.7858679499411
90.0	1112.450459602358
91.0	1011.2592422710829
92.0	894.8892856472014
93.0	744.1491332296107
94.0	559.1418213467415
95.0	395.35774067844216
96.0	251.85742917578654
97.0	141.7574398564593
98.0	54.90224980929932
99.0	6.721067590995701
