#Transcript position	Transcript coverage profile
0.0	1.4792595351507014
1.0	2.9469274873400217
2.0	4.327735644570339
3.0	4.720549384907658
4.0	5.2305224305894855
5.0	5.233615972573962
6.0	5.509747599662064
7.0	5.666986323664055
8.0	6.050475507540941
9.0	5.803024479403713
10.0	6.292280661560852
11.0	6.596098218367269
12.0	6.492324630107659
13.0	6.612439520032074
14.0	6.641146006349299
15.0	6.727718852378773
16.0	7.209843620562944
17.0	7.101151990036943
18.0	7.170028027444925
19.0	7.214348033458782
20.0	6.992089599707897
21.0	7.157442646175841
22.0	7.138232637650861
23.0	7.291524408279029
24.0	7.096020748253874
25.0	7.557849050628847
26.0	7.350711609278867
27.0	7.78484623243085
28.0	7.295045377479385
29.0	7.645348842459878
30.0	7.582644965847462
31.0	7.253812467362785
32.0	7.241956738378075
33.0	7.393719545803447
34.0	7.491776470703007
35.0	7.548828810675588
36.0	7.608509594364889
37.0	7.7080100160082035
38.0	7.997375216418026
39.0	7.613156546889653
40.0	7.42945753105156
41.0	7.169603854002206
42.0	7.110451854173409
43.0	7.183206662704715
44.0	7.355417134437105
45.0	7.594550859405934
46.0	7.44427747883863
47.0	7.887212785491348
48.0	7.849962758979228
49.0	7.731959897962956
50.0	7.654095937152323
51.0	8.057016402245184
52.0	8.333427026971409
53.0	8.179504551225184
54.0	7.629536120745217
55.0	6.740903245515132
56.0	6.554844722412959
57.0	6.4144118187112085
58.0	6.135917017767277
59.0	6.184192968276935
60.0	6.311531628085904
61.0	6.166682804530501
62.0	6.114408891713088
63.0	6.017286196358443
64.0	5.703896377010702
65.0	5.411184834241517
66.0	5.228244403187031
67.0	5.4716691286601336
68.0	5.349802735258664
69.0	5.243388600509807
70.0	5.1716511906489355
71.0	5.275705200905665
72.0	5.110870240844915
73.0	5.16642550825393
74.0	5.1662175625068185
75.0	4.964345863502377
76.0	5.197151961241555
77.0	5.549754114373204
78.0	5.218328661420835
79.0	4.7028180792549374
80.0	4.513735505314374
81.0	4.246071510158096
82.0	3.861267223352988
83.0	3.671443467123355
84.0	3.46506435151552
85.0	3.5544100974868003
86.0	3.4517303986543437
87.0	3.212223403217351
88.0	3.658621232182965
89.0	3.219072104473996
90.0	3.7412198107275962
91.0	2.9642285050829096
92.0	2.352695172943244
93.0	1.7226028432977807
94.0	1.428302965485115
95.0	1.2660542222131115
96.0	1.058212625938026
97.0	0.9303670598862473
98.0	0.557193162270386
99.0	0.057984922792906755
