#Transcript position	Transcript coverage profile
0.0	269.794809355122
1.0	710.6112861022168
2.0	1213.2925068562622
3.0	1624.3749217575387
4.0	2005.927197544806
5.0	2379.0160558351918
6.0	2499.602245718857
7.0	2639.975582139349
8.0	2759.2117674173496
9.0	2849.853268902122
10.0	3022.138370682455
11.0	3126.19554349379
12.0	3208.9087467955123
13.0	3287.618857026014
14.0	3273.6428008660364
15.0	3217.8211628505155
16.0	3230.0429647849746
17.0	3293.767719215083
18.0	3226.885744063536
19.0	3200.6729115038765
20.0	3194.3985742810423
21.0	3180.5306379902986
22.0	3144.530048118273
23.0	3277.099175627768
24.0	3224.842397008449
25.0	3173.7101326907787
26.0	3197.158451952465
27.0	3232.3855503402992
28.0	3230.6066706297606
29.0	3207.5495365439183
30.0	3203.44377657907
31.0	3226.932964411056
32.0	3337.5960565419
33.0	3426.840352830919
34.0	3486.3304806126057
35.0	3541.679496251329
36.0	3605.2768270395404
37.0	3693.117203943942
38.0	3641.9433090828975
39.0	3671.974771135086
40.0	3718.4003007865745
41.0	3680.439108949568
42.0	3670.9400574911074
43.0	3596.0027270617816
44.0	3512.2694932391514
45.0	3547.859288351431
46.0	3527.924710669676
47.0	3489.908915983096
48.0	3438.3925083913887
49.0	3313.3477010240904
50.0	3279.1536024726493
51.0	3250.4563707751086
52.0	3231.7277318885453
53.0	3202.4197346822148
54.0	3294.2560252509
55.0	3356.3466689420893
56.0	3351.886186990937
57.0	3229.4757377233386
58.0	3097.75739838927
59.0	3046.893744755743
60.0	3101.569895183929
61.0	3166.5663889490397
62.0	3179.2828540595524
63.0	3168.5319622122965
64.0	3114.045041189871
65.0	3110.50628757266
66.0	3249.2505092770734
67.0	3311.229211477744
68.0	3275.5871167774594
69.0	3223.56814401145
70.0	3130.5009495531676
71.0	3034.4687554530083
72.0	2993.9376415954216
73.0	3126.661365937099
74.0	3163.9803763214218
75.0	3176.6867559365296
76.0	3126.248978335489
77.0	2970.2529488291093
78.0	2699.3603828416935
79.0	2418.337726713539
80.0	2261.3080518920265
81.0	2226.35381278165
82.0	2164.139940958549
83.0	2047.4936262536398
84.0	1957.1945674460533
85.0	1928.6123632519373
86.0	1854.9885129544275
87.0	1670.3883209688615
88.0	1521.2207369164003
89.0	1376.1412208518077
90.0	1250.915685611414
91.0	1144.743492129535
92.0	1023.4646601841355
93.0	855.8602138704496
94.0	674.5412943154653
95.0	488.55750555404296
96.0	317.0711139219068
97.0	175.1181792600114
98.0	62.06277069659907
99.0	6.749901866690406
