#Transcript position	Transcript coverage profile
0.0	531.0724692888004
1.0	1416.5429038722607
2.0	2303.104663571099
3.0	3018.234938551633
4.0	3629.6588577914176
5.0	4179.317201917393
6.0	4440.7356523201015
7.0	4669.421371580606
8.0	4844.32245589719
9.0	4983.459974691311
10.0	5206.208403747056
11.0	5359.759043732522
12.0	5477.203228601222
13.0	5578.806172272127
14.0	5589.100094468132
15.0	5542.5337693656775
16.0	5554.7957006571
17.0	5642.450135043289
18.0	5578.893797970497
19.0	5553.346412742592
20.0	5544.081064680478
21.0	5552.360900390096
22.0	5524.427529651439
23.0	5655.766750143252
24.0	5586.205526620901
25.0	5542.190051621529
26.0	5578.680558878986
27.0	5612.847231975768
28.0	5606.880117625289
29.0	5585.1513711135485
30.0	5589.613929235072
31.0	5579.578947576093
32.0	5659.229714840423
33.0	5749.305148261811
34.0	5817.968447802387
35.0	5876.559682915632
36.0	5948.920347754499
37.0	6038.1950554263985
38.0	5995.667372124904
39.0	6034.872178813371
40.0	6091.937823395087
41.0	6060.687070531625
42.0	6024.0656396598015
43.0	5945.142996256736
44.0	5880.779675205919
45.0	5901.2785229296915
46.0	5874.529519184601
47.0	5848.345551596534
48.0	5775.9900136215965
49.0	5650.3712511969525
50.0	5613.17167687769
51.0	5588.459363268727
52.0	5561.561646218351
53.0	5555.100225341199
54.0	5640.43498842402
55.0	5688.398345925308
56.0	5683.752251279224
57.0	5546.30896713385
58.0	5419.477854579201
59.0	5372.205121817614
60.0	5412.537614694351
61.0	5482.1676916209135
62.0	5496.50452308227
63.0	5486.4661153559755
64.0	5432.816174724198
65.0	5413.487466592467
66.0	5545.813886028281
67.0	5592.611028456991
68.0	5532.226489930487
69.0	5456.996640772426
70.0	5374.757916719754
71.0	5281.366800778971
72.0	5230.131581167849
73.0	5343.245256584234
74.0	5353.302667164229
75.0	5353.973435413239
76.0	5279.492322087149
77.0	5111.956685086346
78.0	4816.80296138534
79.0	4515.078687677445
80.0	4334.174835753991
81.0	4256.463270083813
82.0	4156.2838981990235
83.0	4006.570450418544
84.0	3875.798558218347
85.0	3781.17958549061
86.0	3642.871808766041
87.0	3379.230525455625
88.0	3156.5058762495382
89.0	2944.604893763711
90.0	2734.8735089761326
91.0	2499.707117966311
92.0	2233.7810672917726
93.0	1900.0070811186129
94.0	1540.3882306304345
95.0	1152.3875605280284
96.0	762.557064201162
97.0	436.32584571538973
98.0	159.6680737690588
99.0	18.158142757880363
