#Transcript position	Transcript coverage profile
0.0	469.253793130519
1.0	1256.8076726005165
2.0	2046.2583498795452
3.0	2677.588559090635
4.0	3230.5253317981364
5.0	3717.584126566213
6.0	3942.3344653570866
7.0	4153.364181456915
8.0	4309.161278494074
9.0	4424.889777249852
10.0	4622.72783224849
11.0	4738.1810258866135
12.0	4830.71140067303
13.0	4909.517502531806
14.0	4918.156042905633
15.0	4886.213746651453
16.0	4916.70957904211
17.0	4991.233846339047
18.0	4954.199579129147
19.0	4943.497118948639
20.0	4938.748567672481
21.0	4960.586585534578
22.0	4924.120055701977
23.0	5013.291081001566
24.0	4957.52707111648
25.0	4920.952748290556
26.0	4958.2313399586
27.0	4981.234175639244
28.0	4974.869048246401
29.0	4989.22325319102
30.0	4989.020069322265
31.0	4967.5683207117545
32.0	5022.637352783997
33.0	5122.45415197434
34.0	5171.746818030441
35.0	5212.101729210575
36.0	5274.283732965931
37.0	5378.571415952843
38.0	5351.511516121688
39.0	5372.605670318941
40.0	5418.414783297072
41.0	5391.970159553932
42.0	5345.320970145884
43.0	5290.803620783192
44.0	5217.060772509156
45.0	5231.899908171684
46.0	5193.875299562382
47.0	5165.909795688188
48.0	5117.240889792743
49.0	4982.759698435079
50.0	4977.75869979125
51.0	4965.541246503544
52.0	4950.518258353303
53.0	4957.96738592242
54.0	5044.967676009834
55.0	5073.633711971394
56.0	5062.601347459575
57.0	4951.005545632636
58.0	4863.883430193833
59.0	4824.739339187885
60.0	4849.739208661322
61.0	4926.660456576137
62.0	4950.739464432886
63.0	4925.470770371706
64.0	4860.349006254341
65.0	4840.202956384936
66.0	4947.322523378242
67.0	4999.500819066344
68.0	4917.859157123243
69.0	4842.32513207471
70.0	4792.413883624475
71.0	4720.330391595771
72.0	4656.766508591384
73.0	4748.784169601176
74.0	4750.191015471175
75.0	4734.024344251958
76.0	4633.863514002475
77.0	4463.509128926171
78.0	4243.920448546448
79.0	3995.3508217578847
80.0	3859.416529124869
81.0	3780.368684818896
82.0	3680.6340220346574
83.0	3517.1521430284233
84.0	3367.83844113567
85.0	3281.485456048106
86.0	3146.3843693193367
87.0	2938.7462473627984
88.0	2761.4798001511854
89.0	2586.352088392755
90.0	2399.005981929408
91.0	2199.7808171298516
92.0	1971.5712481523326
93.0	1672.9725421416063
94.0	1340.7933585985165
95.0	991.196042857597
96.0	654.1944904004495
97.0	378.0071506448411
98.0	143.22700930317927
99.0	17.045954064214918
