#Transcript position	Transcript coverage profile
0.0	1.238989574241565
1.0	2.9421445320184665
2.0	4.328068580552949
3.0	5.3016494371883365
4.0	5.764391153128112
5.0	5.937760133165756
6.0	6.369768984789101
7.0	6.391575635638319
8.0	6.746510611838034
9.0	6.743709964327364
10.0	7.009476953658001
11.0	6.9929373575931795
12.0	7.06202587224898
13.0	7.0617675076054285
14.0	7.097170935958849
15.0	7.24900164922673
16.0	7.486364406871124
17.0	7.263760349675015
18.0	7.359550457878643
19.0	7.293182062420676
20.0	7.224763548138894
21.0	7.302419588778522
22.0	7.196908610224412
23.0	7.493522415707917
24.0	7.173720483242105
25.0	7.989288619839171
26.0	7.902657301106453
27.0	8.032793451926691
28.0	7.828573943764265
29.0	8.262668402155235
30.0	8.449388042395949
31.0	8.239846928691932
32.0	8.28973057295163
33.0	8.194356021930558
34.0	8.339228415989403
35.0	8.398770059246859
36.0	8.491375758686086
37.0	8.737443241858534
38.0	8.6254767128535
39.0	8.294853506199983
40.0	8.080722312504431
41.0	7.777385914913114
42.0	7.677238507320648
43.0	7.665735652621455
44.0	7.694000647334164
45.0	7.663157121618368
46.0	7.631392653293479
47.0	7.781522970781685
48.0	7.2841478431763935
49.0	7.137846547205428
50.0	7.260755691025796
51.0	7.389054442833784
52.0	8.145124619576
53.0	8.4050525171305
54.0	7.814816332907058
55.0	6.917439214569805
56.0	6.879050555860339
57.0	6.9528713187972135
58.0	6.9217486627038145
59.0	6.924299273234698
60.0	6.833106920393487
61.0	6.510768189363934
62.0	6.507882295651713
63.0	6.163285938153959
64.0	5.877076006683742
65.0	5.878618023285243
66.0	5.837624853274342
67.0	6.066558637141343
68.0	5.917324969819874
69.0	5.610388227091942
70.0	5.407051982011248
71.0	5.469251233843756
72.0	5.424655363280535
73.0	5.219033519083444
74.0	5.268941803356355
75.0	5.166813184690346
76.0	5.601301614982361
77.0	5.4511753648857315
78.0	4.982454472773414
79.0	4.56176320965139
80.0	4.345790444263906
81.0	4.2557951405246275
82.0	4.003083874042945
83.0	3.703175985665447
84.0	3.563333330689917
85.0	3.342905599317468
86.0	3.054839432658286
87.0	2.8798069549818988
88.0	3.248936060319972
89.0	3.155863788153523
90.0	3.424274339101836
91.0	2.709102065207571
92.0	2.160025809707254
93.0	1.5858503578786505
94.0	1.2973955162690667
95.0	1.2727798906313228
96.0	1.0031881565825997
97.0	0.7794596933661919
98.0	0.34424264071955823
99.0	0.0315967122427206
