#Transcript position	Transcript coverage profile
0.0	725.5426329130044
1.0	1921.301841291478
2.0	3152.614176659301
3.0	4175.870821806891
4.0	5060.813972974946
5.0	5870.235237550991
6.0	6282.2027240799525
7.0	6641.369022871622
8.0	6889.978501601245
9.0	7097.154549157538
10.0	7385.737552925584
11.0	7613.732459524067
12.0	7819.9753554422605
13.0	7990.76471491763
14.0	8033.2444550932205
15.0	7999.053607552831
16.0	8032.216518793366
17.0	8162.325505718241
18.0	8091.727523487803
19.0	8075.212262299571
20.0	8079.689021934775
21.0	8117.915942334986
22.0	8068.7758242912905
23.0	8227.071339212966
24.0	8148.75350994736
25.0	8081.841042650873
26.0	8157.006057158023
27.0	8220.201892433099
28.0	8235.447679316447
29.0	8257.82896537979
30.0	8255.411437890101
31.0	8227.182966913308
32.0	8329.765298075019
33.0	8437.077160639741
34.0	8547.152275963643
35.0	8604.754242914909
36.0	8695.621641020636
37.0	8853.269264930488
38.0	8834.156373592014
39.0	8877.097397735039
40.0	8957.50276499471
41.0	8929.670503969077
42.0	8859.428281948909
43.0	8725.174263855519
44.0	8632.48455452117
45.0	8634.683744299871
46.0	8549.830361410559
47.0	8477.840184511568
48.0	8369.177062240951
49.0	8160.0703918568
50.0	8117.579546010649
51.0	8089.361053491914
52.0	8045.571386276515
53.0	8048.297818915337
54.0	8158.046716650235
55.0	8215.179035476316
56.0	8192.272656848076
57.0	8016.892651585937
58.0	7862.444844067363
59.0	7791.668934811179
60.0	7835.358802302892
61.0	7936.423251849764
62.0	7988.719589792253
63.0	7973.530229271715
64.0	7878.629363109044
65.0	7822.945054294694
66.0	7994.8837113805985
67.0	8056.74256873584
68.0	7952.103558529645
69.0	7840.775895238014
70.0	7704.655564527271
71.0	7573.597855204078
72.0	7479.239129919179
73.0	7588.627865018313
74.0	7562.734166095493
75.0	7538.762973029798
76.0	7419.732345837352
77.0	7180.348081985483
78.0	6808.007774813489
79.0	6408.8373514343475
80.0	6164.541137397484
81.0	6052.650435150799
82.0	5891.005233488671
83.0	5669.135565506702
84.0	5466.519140028026
85.0	5314.94597367912
86.0	5099.0200026565735
87.0	4711.572933080051
88.0	4399.69737795535
89.0	4117.654157178494
90.0	3817.084120319051
91.0	3472.175468306429
92.0	3077.8105802574237
93.0	2596.705040258193
94.0	2076.1593685521643
95.0	1546.2328948183647
96.0	1019.9437030566572
97.0	578.9062052666691
98.0	214.6945856953788
99.0	24.855934716952966
