#Transcript position	Transcript coverage profile
0.0	370.68869171629035
1.0	950.423269543206
2.0	1626.4654688645944
3.0	2195.5214855434338
4.0	2736.809440243732
5.0	3289.238571500367
6.0	3494.4768206209055
7.0	3712.702807898674
8.0	3876.452511988064
9.0	4013.4262973067202
10.0	4222.608199967432
11.0	4380.384165718795
12.0	4539.070992779176
13.0	4674.755709526014
14.0	4674.517379753653
15.0	4623.73951353258
16.0	4653.3719011538715
17.0	4743.856201034944
18.0	4652.104480031714
19.0	4625.8864129868225
20.0	4638.419797264915
21.0	4642.161207584059
22.0	4585.5314754076635
23.0	4748.0460068950415
24.0	4682.544284342162
25.0	4603.536522215016
26.0	4666.762260858728
27.0	4730.6270439018945
28.0	4749.732668114619
29.0	4770.837986173925
30.0	4755.113862379372
31.0	4761.495955875212
32.0	4895.783273297312
33.0	4997.972884374815
34.0	5098.895887899244
35.0	5156.1207790948965
36.0	5242.851709943298
37.0	5397.718915103487
38.0	5368.705829113443
39.0	5394.5513425167355
40.0	5470.3808725821455
41.0	5448.030390063728
42.0	5414.263960318365
43.0	5281.0513004695
44.0	5155.057676094076
45.0	5179.234790645628
46.0	5095.2201473913265
47.0	5002.990967933432
48.0	4916.350629299482
49.0	4713.677530864637
50.0	4681.40986873113
51.0	4655.825130464697
52.0	4639.5111002332505
53.0	4618.002743462939
54.0	4741.98231621493
55.0	4820.458991824363
56.0	4799.505470038092
57.0	4648.457137483204
58.0	4482.840723896799
59.0	4395.715563772408
60.0	4450.096646701435
61.0	4533.664977128714
62.0	4576.516582394747
63.0	4564.553005413139
64.0	4493.518535946644
65.0	4468.873195501802
66.0	4640.222612384377
67.0	4708.4001974340845
68.0	4637.265551310988
69.0	4562.645241169173
70.0	4427.555378033753
71.0	4294.507495981523
72.0	4222.471747657709
73.0	4344.670392773977
74.0	4369.307375500531
75.0	4376.365012485478
76.0	4301.475964997704
77.0	4085.6301345162706
78.0	3750.343174773513
79.0	3383.472052882923
80.0	3173.2555698406522
81.0	3122.8519520419522
82.0	3021.9896053258926
83.0	2866.1664466141524
84.0	2725.1985177279535
85.0	2675.3297879907163
86.0	2563.7921448262787
87.0	2297.2481512412046
88.0	2085.9582008569137
89.0	1905.428941701902
90.0	1734.9567017231839
91.0	1567.0929684236646
92.0	1378.7661965396044
93.0	1143.3111884340299
94.0	888.502608772746
95.0	649.7207649852728
96.0	422.4272900920813
97.0	231.23771060105503
98.0	82.47676063709332
99.0	9.893905817363999
