454
YNCA0001W	HRA1	MissingGeneType
YNCA0002W	TRN1	MissingGeneType
YNCA0003W	SNR18	MissingGeneType
YNCA0004W	TGA1	MissingGeneType
YNCA0005W	SUP56	MissingGeneType
YNCA0006C	YNCA0006C	MissingGeneType
YNCB0001W	YNCB0001W	MissingGeneType
YNCB0002W	YNCB0002W	MissingGeneType
YBL092W	RPL32	MissingGeneType
YNCB0003W	SNR56	MissingGeneType
YBL072C	RPS8A	MissingGeneType
YNCB0004W	YNCB0004W	MissingGeneType
YNCB0005C	YNCB0005C	MissingGeneType
YNCB0006W	YNCB0006W	MissingGeneType
YNCB0007W	YNCB0007W	MissingGeneType
YNCB0008W	YNCB0008W	MissingGeneType
YNCB0009C	SNR161	MissingGeneType
YNCB0010W	TLC1	MissingGeneType
YNCB0011C	YNCB0011C	MissingGeneType
YNCB0012W	YNCB0012W	MissingGeneType
YNCB0013W	YNCB0013W	MissingGeneType
YNCB0014W	TBRT	MissingGeneType
YNCB0015W	YNCB0015W	MissingGeneType
YNCB0016W	YNCB0016W	MissingGeneType
YBR089C-A	NHP6B	MissingGeneType
YNCB0017C	YNCB0017C	MissingGeneType
YNCB0018W	YNCB0018W	MissingGeneType
YNCB0019C	LSR1	MissingGeneType
YNCC0001C	YNCC0001C	MissingGeneType
YNCC0002W	SUP53	MissingGeneType
YNCC0003C	SNR43	MissingGeneType
YNCC0004C	SUF2	MissingGeneType
YNCC0005W	YNCC0005W	MissingGeneType
YNCC0006C	SNR33	MissingGeneType
YNCC0007C	SUF16	MissingGeneType
YNCC0008W	YNCC0008W	MissingGeneType
YNCC0009C	YNCC0009C	MissingGeneType
YNCC0010C	YNCC0010C	MissingGeneType
YNCC0011W	SNR65	MissingGeneType
YNCC0012C	SNR189	MissingGeneType
YNCC0015W	SUT035	MissingGeneType
YNCC0013W	SUP61	MissingGeneType
YNCC0014W	YNCC0014W	MissingGeneType
YNCD0001W	YNCD0001W	MissingGeneType
YDL189W	RBS1	MissingGeneType
YDL137W	ARF2	MissingGeneType
YNCD0002C	SNR63	MissingGeneType
YDL061C	RPS29B	MissingGeneType
YNCD0003W	YNCD0003W	MissingGeneType
YNCD0004W	YNCD0004W	MissingGeneType
YNCD0005C	YNCD0005C	MissingGeneType
YNCD0006W	YNCD0006W	MissingGeneType
YNCD0007C	YNCD0007C	MissingGeneType
YNCD0033W	SUT053	MissingGeneType
YNCD0034C	SUT468	MissingGeneType
YNCD0008W	YNCD0008W	MissingGeneType
YNCD0009W	YNCD0009W	MissingGeneType
YNCD0010C	SNR47	MissingGeneType
YNCD0011W	YNCD0011W	MissingGeneType
YNCD0012W	YNCD0012W	MissingGeneType
YNCD0013C	YNCD0013C	MissingGeneType
YNCD0014C	YNCD0014C	MissingGeneType
YDR099W	BMH2	MissingGeneType
YNCD0015C	YNCD0015C	MissingGeneType
YNCD0016C	YNCD0016C	MissingGeneType
YNCD0017W	YNCD0017W	MissingGeneType
YNCD0018W	SUP2	MissingGeneType
YNCD0019C	YNCD0019C	MissingGeneType
YNCD0020W	YNCD0020W	MissingGeneType
YNCD0021C	YNCD0021C	MissingGeneType
YNCD0022C	YNCD0022C	MissingGeneType
YNCD0023C	YNCD0023C	MissingGeneType
YNCD0024C	YNCD0024C	MissingGeneType
YNCD0025W	EMT1	MissingGeneType
YNCD0026W	YNCD0026W	MissingGeneType
YNCD0027C	SUF3	MissingGeneType
YNCD0028W	YNCD0028W	MissingGeneType
YNCD0029C	YNCD0029C	MissingGeneType
YNCD0030W	SNR13	MissingGeneType
YNCD0031C	YNCD0031C	MissingGeneType
YNCD0032C	SNR84	MissingGeneType
YNCI0001W	SNR68	MissingGeneType
YIL123W	SIM1	MissingGeneType
YNCI0002W	YNCI0002W	MissingGeneType
YNCI0003C	YNCI0003C	MissingGeneType
YNCI0004W	YNCI0004W	MissingGeneType
YNCI0005W	YNCI0005W	MissingGeneType
YNCI0006W	SUP17	MissingGeneType
YNCI0007C	YNCI0007C	MissingGeneType
YNCI0008C	YNCI0008C	MissingGeneType
YNCI0009W	YNCI0009W	MissingGeneType
YNCI0010C	YNCI0010C	MissingGeneType
YNCI0011W	YNCI0011W	MissingGeneType
YNCI0012	ICR1	MissingGeneType
YNCI0013W	PWR1	MissingGeneType
YNCE0001C	SNR80	MissingGeneType
YNCE0002W	SNR67	MissingGeneType
YNCE0003W	SNR53	MissingGeneType
YNCE0004C	YNCE0004C	MissingGeneType
YNCE0005W	YNCE0005W	MissingGeneType
YNCE0006W	IMT4	MissingGeneType
YNCE0007C	RPR1	MissingGeneType
YNCE0008C	YNCE0008C	MissingGeneType
YNCE0009C	YNCE0009C	MissingGeneType
YNCE0010W	YNCE0010W	MissingGeneType
YNCE0011C	SNR14	MissingGeneType
YNCE0012W	YNCE0012W	MissingGeneType
YNCE0013W	YNCE0013W	MissingGeneType
YNCE0014W	YNCE0014W	MissingGeneType
YNCE0015C	SUP19	MissingGeneType
YNCE0016C	YNCE0016C	MissingGeneType
YNCE0017W	SRG1	MissingGeneType
